"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0746","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","4818","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8946","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","4993","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5810","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8943","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","9088","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0515","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8649","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5059","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1013","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0861","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1014","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0956","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3484","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0499","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2870","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8930","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1037","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1102","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0396","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1056","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1289","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0462","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0877","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2869","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","5814","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0772","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","6147","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8883","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0526","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1033","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1036","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0447","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8942","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","9188","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","1157","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","4261","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","3487","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","4075","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","2909","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7700","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","8795","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0272","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0297","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","0258","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","7280","Skeleton","","",NA,NA,NA,1
"Skeleton partial; &","royal ontario museum: rom","vertebrate paleontology","9229","Skeleton","","",NA,NA,NA,1
