"TypeStatus","Count"
"paratype",977
"holotype",130
"paratypes",106
"ms paratype",33
"ms paratypes",9
"ms holotype",6
"holotype; paratype",1
"holotype;(male);allotype;(female)",1
"parartype",1
"paratypes ?",1
"topotype",1
