"Continent","Count"
"usa",51932
"mex",2479
"ven",1966
"cri",1352
"zmb",996
"pri",82
"vir",46
"blz",42
"bwa",26
"tto",26
"can",23
"cub",19
"zaf",9
"gtm",6
"nzl",4
"nam",3
"tza",3
"ecu",2
"ago",1
"col",1
"hnd",1
"moz",1
"mwi",1
