"Continent","Count"
"usa",79295
"tha",106
"tto",86
"can",74
"bhs",53
"mex",49
"cri",40
"esp",38
"nld",30
"jpn",29
"lka",18
"chl",17
"moz",14
"zaf",10
"dom",9
"nzl",8
"sen",8
"mhl",7
"ecu",5
"mrt",5
"nic",5
"ind",4
"pak",4
"per",4
"col",3
"gin",3
"idn",3
"pan",3
"vnm",3
"gab",2
"gha",2
"hnd",2
"jam",2
"tza",2
"ven",2
"ago",1
"aus",1
"bra",1
"cym",1
"dma",1
"gnb",1
"guy",1
"isr",1
"nga",1
"twn",1
"ury",1
