"Waterbody","Count"
"armand bayou",8
"bahía de zontecompan",8
"bay of bengal",8
"briar creek",8
"buffalo lake",8
"cajika branch",8
"christmas creek",8
"davidson creek",8
"eastern atlantic ocean",8
"flat branch creek",8
"gila river",8
"glover river",8
"lake palestine",8
"louise creek",8
"richland creek",8
"south china sea",8
"tehuacana creek",8
"terlingua creek",8
"white sand creek",8
"wolf creek",8
"ballard creek",7
"big rocky creek",7
"caney creek",7
"doggerty creek",7
"dove creek.",7
"dry creek",7
"frost creek",7
"gault's creek",7
"halmahera sea",7
"lago hidalgo",7
"laguinho de santa rita",7
"laguna jocotal",7
"lake diversion",7
"little pine island bayou",7
"maumee river drainage",7
"old river",7
"pendjari river",7
"phanton lake spring",7
"pine island bayou",7
"redfish bay",7
"río guatopo, río orituco",7
"sevier river",7
"south platte river",7
"straits of florida",7
"tonkaway lake",7
"wakarusa river",7
"waxahachie creek",7
"wolf pen creek",7
"arroyo san carlos",6
"barataria bay",6
"billy haw lake",6
"caddo lake",6
"campo do lago",6
"coosa river drainage",6
"elliott creek",6
"grove creek",6
"gulf of saint lawrence",6
"harvey creek",6
"hudson river",6
"jack creek",6
"jago lagoon",6
"kiamichi river",6
"lake creek",6
"lake houston",6
"lake spence",6
"leon river drainage",6
"little kisatchie bayou",6
"little white oak bayou",6
"live oak creek",6
"llano-colorado river drainage",6
"matelot river",6
"mediteranean sea",6
"n atlantic ocean",6
"neosha river",6
"nueches river drainage",6
"picosa creek",6
"platte river drainage",6
"rio grande drainage",6
"rio hondo",6
"río espíritu santo",6
"río grijalva",6
"río guayalejo",6
"río jaltepec",6
"río morichal largo",6
"río salado",6
"san antonio drainage",6
"sandy hook bay",6
"santa rosa lake",6
"sims bayou",6
"squaw creek",6
"strawberry river",6
"terrebone bay",6
"thompson creek",6
"virgin river",6
"west english channel",6
"west lakes",6
"aquilla lake",5
"baldwin creek",5
"bear creek",5
"black warrior river drainage",5
"buffalo bayou",5
"buffalo camp bayou",5
"canal da água branca",5
"canal do branco",5
"central pacific ocean",5
"cimarron river",5
"clear boggy creek",5
"conasauga river",5
"coon creek",5
"cross lake",5
"dallmann bay",5
"dismal river",5
"duck creek.",5
"flatwood pond",5
"fox bay",5
"gulf of panama",5
"homochitto river",5
"houston ship channel",5
"kara sea",5
"lago comprido",5
"lake dallas",5
"lake livingston",5
"little coyote creek",5
"maraval river",5
"marianne river",5
"melhom's creek",5
"palo duro creek",5
"paulin's kite",5
"pinedale lake",5
"rio tamarindo",5
"ross sea",5
"río cañafistola",5
"río de los gatos",5
"río san antonio",5
"río santa cruz",5
"río santa maria",5
"santee river",5
"seven-mile creek",5
"sina sina rou creek",5
"talisheek creek",5
"tenmile creek",5
"teslin river",5
"valley creek.",5
"west bay",5
"aransas bay",4
"attoyac bayou",4
"beals creek",4
"beals river",4
"berry creek",4
"big mccadoo creek",4
"black creek",4
"buck creek",4
"cape fear drainage",4
"cherokee bayou",4
"clinch river drainage",4
"coyote creek",4
"damariscotta river",4
"e.v. spence reservoir",4
"east frio river",4
"eastern pacific ocean",4
"espantosa lake",4
"fish lake",4
"grapeland country club lake",4
"kodayaar",4
"lago de montebello",4
"lake okeechobee",4
"les chutes du kota",4
"little kern river",4
"little sandy creek",4
"mason creek",4
"messbox creek",4
"morris creek",4
"muddy boggy creek",4
"ohio river drainage",4
"pacific",4
"patroon creek",4
"port aransas bay",4
"port aransas channel",4
"rappahannock river",4
"rio peje",4
"rock creek",4
"rosehedge lake",4
"río burgos (río conchos)",4
"río casiquiare",4
"río grande",4
"río grijalua",4
"río nazas",4
"río pablillo",4
"sass lake",4
"sebastian inlet",4
"south branch holston",4
"southeast pacific ocean",4
"tamiami canal",4
"tortuga estuary",4
"verde river",4
"visayan sea",4
"west chappepela creek",4
"white oak creek",4
"york river",4
"apalachicola river drainage",3
"aransas pass",3
"arroyo marmolejo",3
"artesian well",3
"atchafalya river",3
"barents sea",3
"bayou black",3
"beffa river",3
"big eagle creek",3
"black warrior river",3
"bolinao lagoon",3
"bosque river",3
"brady creek",3
"calatagan lagoon",3
"comanche springs",3
"conchos river",3
"cowpen creek",3
"crystal river",3
"cumberland river drainage",3
"deep river",3
"devils river drainage",3
"eagle lake",3
"elam creek",3
"gallinus river",3
"gila river drainage",3
"grapevine lake",3
"great works river",3
"grosebeck creek",3
"gulf of guinea",3
"gum creek",3
"hickory creek",3
"hulls creek",3
"indian river",3
"kahn creek",3
"kansas river",3
"lago cuitzeo",3
"lago nicaragua",3
"laguna cano largo",3
"laguna chalchoapan",3
"laguna encantada",3
"laguna metapan",3
"lake mcqueeney",3
"lake michigan",3
"lake waco",3
"little missouri river",3
"llano river drainage",3
"loux's creek",3
"mckittrick creek",3
"missouri river",3
"moss spring",3
"neosho river",3
"north llano river",3
"parati river",3
"pascagoula river drainage",3
"piedras creek",3
"pudding river",3
"red creek",3
"rio citala",3
"rio jiboa",3
"rio quezalapa",3
"rowlett creek",3
"río alamos",3
"río chacamax",3
"río corona",3
"río galindo",3
"río jalpan",3
"río pasimoni",3
"río san fernando",3
"río sotola marina",3
"san antonio bay",3
"sarapiqui",3
"seco creek",3
"seminole springs",3
"shark river",3
"sheldon reservior",3
"south canadian river",3
"stubblefield lake",3
"sycamore creek",3
"tennessee river drainage",3
"toledo bend reservoir",3
"toyah creek",3
"transpecos gravel pit",3
"tyner creek",3
"we we river",3
"west navidad river",3
"white oak bayou",3
"wickson lake",3
"yanubee creek",3
"yegua creek",3
"yellow wolf creek",3
"acequida de escapa",2
"adriatic sea",2
"aguajal",2
"algoa bay",2
"allen's creek",2
"altamaha river drainage",2
"appomattox river drainage",2
"atlanitc ocean",2
"austin bayou",2
"ayish bayou",2
"bakers lake",2
"banana river",2
"bancombe creek",2
"bangka island",2
"baron fork",2
"big marys' creek",2
"big menominee river",2
"big piney river",2
"bintan island",2
"bohol strait",2
"buffalo river drainage",2
"burdette gravel pit",2
"bush creek",2
"caddo creek",2
"caspian sea",2
"cedar lake",2
"chaffin creek",2
"chattahoochee river drainage",2
"checkhall river",2
"choctawhatchee river",2
"city lake",2
"coletta creek",2
"country club lake",2
"craig creek",2
"crow creek",2
"cypress creek",2
"ditch south of weslaco, intersection of bill summers international blvd and llano grande lake",2
"embarrass river",2
"evans creek",2
"finfeather lake",2
"flag lake",2
"fresno creek",2
"frio river drainage",2
"galveston",2
"garza-little elm reservoir",2
"grande riviere",2
"great australian bight",2
"gulf of cadiz",2
"gulf of mannar",2
"hanauma bay",2
"hatchett creek",2
"honey creek",2
"indian camp creek",2
"iracoubo river",2
"irondequoit bay",2
"jack fork creek",2
"johnson creek",2
"jones bay",2
"kaktovik lagoon",2
"kapuas drainage",2
"kerriparai",2
"kumai drainage",2
"lago coatepeque",2
"lago ouija",2
"laguna cartagena",2
"laguna olomega",2
"laguna sontecompan",2
"lake canadaigua",2
"lake cokato",2
"lake corpus christi",2
"lake lou",2
"lake nasworthy",2
"lake pontchartrain",2
"lake sommerville",2
"lake wichita",2
"lane's pond",2
"lea lake",2
"lochloosa lake",2
"lower wet meadows creek",2
"lumber river",2
"mathis lake",2
"medio creek",2
"miller's pond",2
"mobile bay",2
"mohlmans oxbow",2
"moluccan sea",2
"moruka river",2
"mulberry creek",2
"natori-gawa river",2
"north fork red river",2
"nw branch creek",2
"o. h. ivie reservior",2
"okpara river",2
"park lake creek",2
"penitas lake",2
"pleasant river",2
"rajakamangalam",2
"ranger's creek",2
"red bluff lake",2
"rio grande river",2
"rio gualchuga",2
"rio mimbres",2
"rio paso hondo",2
"rockcastle river",2
"ruidosa river",2
"russian river drainage",2
"río altotoco",2
"río conchos (san fernando)",2
"río guatopo",2
"río pao",2
"río salto",2
"río sotola",2
"río teapa",2
"sacramento river",2
"salmon river",2
"salt creek",2
"salt fork river",2
"samar sea",2
"san bernardino river",2
"santa clara river",2
"santa fe river",2
"santee river drainage",2
"sayhill bayou",2
"schaberg creek",2
"scoates lake",2
"sonoita creek",2
"speel lake",2
"stinking creek",2
"talapossa river",2
"tama-gawa river",2
"tambikabo inlet",2
"tennessee river",2
"texas power & lighting lake",2
"thomas bay",2
"tracy creek",2
"tres palacios bay",2
"trinidad",2
"trinidad lake",2
"turkey creek",2
"utah lake",2
"venutari river",2
"walden creek",2
"walnut spring creek",2
"west cache creek",2
"west thompson creek",2
"western atlantic ocean",2
"white river, west fork",2
"winter's bayou",2
"wolf river",2
"10 mile bayou",1
"aguajal carachama",1
"alamoosook lake",1
"alexander's pond",1
"alopches river",1
"alzan bay",1
"androscoggin river",1
"angusagunticook lake",1
"anson spring",1
"aonogawa river",1
"apalachicola bay",1
"arlington",1
"arroyo seco creek",1
"awano-gawa river",1
"bahía de santa elena",1
"barbers hill canal",1
"barnett creek",1
"barren river",1
"bass lake",1
"bastrop bayou",1
"bastrop lake",1
"batang hari basin",1
"bay of biscay",1
"bear river",1
"beech creek",1
"belfast river",1
"big grand pierre creek",1
"big lake",1
"big wichita falls",1
"biloxi bay",1
"black lake",1
"blackman bay",1
"blue shawnee creek",1
"bluffs creek",1
"bob jordan spring",1
"boca chica channel",1
"boktukdo creek",1
"boriski pond",1
"boriskie pond",1
"boudreaux cut",1
"bradford slough",1
"branch creek",1
"brazoria reservoir",1
"broadman river",1
"brown brook",1
"brown creek",1
"brushy creek",1
"bryan's creek",1
"bull lake",1
"buncombe creek",1
"bundick creek",1
"buzzard creek",1
"byrd mill spring",1
"caddo gap",1
"camp do lago preto",1
"canton san miguel",1
"cape cod bay",1
"captive reared",1
"carlos lake",1
"caroline sea",1
"catfish creek",1
"caño dorotomoni",1
"cedar bay",1
"cedar creek",1
"chadayalputhoor",1
"chaffin lake",1
"chappapela creek",1
"chappepeela creek",1
"chelafaula creek",1
"cherokee lake",1
"chetco river",1
"chickasawhay river drainage",1
"chobe river",1
"cibolo creek",1
"cisco lake",1
"clear fork creek",1
"clear forks creek",1
"congo river",1
"corpus christi",1
"cove brook",1
"cowhead creek",1
"cunneotubee creek",1
"daicey pond",1
"dan-roanoke river drainage",1
"dardenne creek",1
"deadman creek",1
"deadman's channel",1
"deer lake",1
"delaware bay",1
"delaware river",1
"deleon river",1
"dickenson bayou",1
"dickenson lake",1
"dickerson bay",1
"dickinson bay",1
"dobbin pond",1
"dodge pond",1
"duck river drainage",1
"ducktrap river",1
"dutch harbor",1
"eagle creek",1
"east china sea",1
"edogawa river",1
"elk river",1
"elkhorn creek",1
"eno river",1
"evans lake",1
"f & e ponds",1
"falcon reservoir",1
"fall creek",1
"fall weather reservoir",1
"false river lake",1
"farm pond",1
"feather river, san joaquin river",1
"federal fish hatchery",1
"fine lake",1
"fish market",1
"fish market at calari, close to abomey-calari",1
"fishpond",1
"flat creek",1
"flat river",1
"flint river",1
"flood control lake # 12",1
"forbes creek",1
"franklin johnny brook drainage",1
"frazier canyon lake",1
"freeport barrow ditch",1
"freese dam",1
"frood's harbour",1
"gatun river",1
"gibons creek",1
"gilbert creek",1
"golfo de campeche",1
"gore creek",1
"grass creek",1
"great pond",1
"great works stream",1
"green creek",1
"green river",1
"green river drainage",1
"greens creek",1
"gulf of aden",1
"gulf of carpentaria",1
"gulf of papua",1
"gulf tank",1
"gurkey creek",1
"haines creek",1
"hakodate bay",1
"hardy stream",1
"harmon's creek",1
"harrin creek",1
"highlands reservoir",1
"hog creek",1
"hog thief creek",1
"holston river",1
"hooper's pond",1
"howard lake",1
"humboldt river",1
"hunting creek",1
"hurricane creek",1
"ichetuchnee river",1
"independence lake",1
"iowa river",1
"ivie reservoir",1
"jacksons ditch",1
"james creek",1
"james river drainage",1
"jenkyns creek",1
"jones upper pond",1
"joseph bonaparte gulf",1
"kahayan drainage, rungan system",1
"kentucky river",1
"kern river",1
"keweah river, upper south fork",1
"kezat river",1
"kickapoo creek",1
"kinnickinnic river",1
"la nona bayou",1
"la pesqueria",1
"lacassine bayou",1
"laccadive sea",1
"lago nicaragua drainage",1
"lago sao miguel",1
"lahontan basin drainage",1
"lahontan river drainage",1
"lake austin",1
"lake balmorhea",1
"lake basil",1
"lake calumet",1
"lake casa blanca",1
"lake charlevoix",1
"lake dunlap",1
"lake granite shoals",1
"lake greeson",1
"lake hanabanilla",1
"lake huron",1
"lake huron drainage",1
"lake julu",1
"lake maxinkuckee",1
"lake mcclellan",1
"lake mckenzie",1
"lake meredith",1
"lake moonan",1
"lake of hinuma",1
"lake ontario",1
"lake overcup",1
"lake sabine",1
"lake sheppard (p. k.)",1
"lake st. clair",1
"lake texarkana",1
