"Typestatus","Count"
"paratype of <a href=""http://arctos.database.museum/name/poecilichthys kanawhae"">poecilichthys kanawhae</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",4
"paratype of <a href=""http://arctos.database.museum/name/pteronotropis euryzonus"">pteronotropis euryzonus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",4
"paratype of <a href=""http://arctos.database.museum/name/stomatorhinus ivindoensis"">stomatorhinus ivindoensis</a>, page 4 in <a href=""http://arctos.database.museum/publication/10006844"">sullivan & hopkins 2005</a>",4
"paratype of <a href=""http://arctos.database.museum/name/amphilius crassus"">amphilius crassus</a>, page 79 in <a href=""http://arctos.database.museum/publication/10007185"">thomson et al. zootaxa  3986 (1) </a>",3
"paratype of <a href=""http://arctos.database.museum/name/amphilius frieli"">amphilius frieli</a>, page 75 in <a href=""http://arctos.database.museum/publication/10007185"">thomson et al. zootaxa  3986 (1) </a>",3
"paratype of <a href=""http://arctos.database.museum/name/brachyhypopomus bullocki"">brachyhypopomus bullocki</a>, page 186 in <a href=""http://arctos.database.museum/publication/10006815"">sullivan & hopkins 2009</a>",3
"paratype of <a href=""http://arctos.database.museum/name/cottus girardi"">cottus girardi</a>, page 306 in <a href=""http://arctos.database.museum/publication/10006907"">robins 1961</a>",3
"paratype of <a href=""http://arctos.database.museum/name/etheostoma scotti"">etheostoma scotti</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",3
"paratype of <a href=""http://arctos.database.museum/name/notropis alborus"">notropis alborus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",3
"paratype of <a href=""http://arctos.database.museum/name/notropis altipinnis whitei"">notropis altipinnis whitei</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",3
"paratype of <a href=""http://arctos.database.museum/name/percina evides ozarcana"">percina evides ozarcana</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",3
"paratype of <a href=""http://arctos.database.museum/name/petrocephalus frieli"">petrocephalus frieli</a>, page 2171 in <a href=""http://arctos.database.museum/publication/10006781"">lavoué 2012</a>",3
"paratype of <a href=""http://arctos.database.museum/name/petrocephalus similis"">petrocephalus similis</a>, page 23 in <a href=""http://arctos.database.museum/publication/10006846"">lavoué 2011</a>",3
"paratype of <a href=""http://arctos.database.museum/name/petrocephalus sullivani"">petrocephalus sullivani</a>, page 13 in <a href=""http://arctos.database.museum/publication/10006847"">lavoué et al. 2004</a>",3
