"Collector","Count"
"pilippoff",121
"cook",120
"hildebrand",120
"morris",120
"survey",120
"r.c",119
"daly",118
"project",118
"likit",117
"seid",117
"croker",116
"j.n",116
"honolulu",115
"pierce",115
"tewash",115
"yoich",115
"andrew",114
"gosline",114
"jack",113
"dane",112
"pe",112
"chernova",111
"deacan",111
"kaza",111
"museum",110
"tubb",110
"halstead",109
"a.o",107
"daniels",107
"piotrowski",107
"riddle",107
"vaniz",107
"dc",106
"silapi",106
"vernon",106
"wagner",106
"warner",106
"alcala",105
"burton",105
"elinor",105
"trubschenck",104
"villaret",104
"w.n",104
"cross",103
"devogelaere",103
"erica",103
"fehlman",103
"fisherman",103
"kevin",103
"ihering",102
"boys",101
"t.r",101
"greig",100
"mcconnoughey",100
"myint",100
"australian",99
"chumnit",99
"kaisa",99
"tobi",99
"johanas",98
"kadeb",98
"murphy",98
"samuel",97
"w.j",97
"l.c",95
"pan",95
"banarescu",94
"fisher",94
"ii",94
"phillip",94
"reid",94
"blackburn",93
"malkin",93
"mee",93
"syoc",93
"baskin",92
"castlefort",92
"d.powell",92
"j.breeden",92
"s.mead",92
"witte",92
"biol",91
"howe",91
"hubert",91
"janss",91
"takeshi",90
"varotoman",90
"borys",89
"gilbert",89
"pinheiro",89
"chiou",88
"ferber",88
"hudson",88
"rivera",88
"steinitz",88
"thomas",88
"aschanuddin",87
"bendiksen",87
"hunter",87
"johaness",87
"kampa",87
"shaw",87
"behrens",86
"k.f",86
"xiaoyong",86
"yarofoma",86
"doug",85
"gerald",85
"ifaluk",85
"jakubowski",85
"aquarium",84
"ford",84
"markello",84
"muno",84
"moore",83
"paulay",83
"stanley",83
"white",83
"garcia",82
"mcfarland",82
"pell",82
"pyle",82
"r.p",82
"romena",82
"gallardo",81
"scherer",81
"afranio",80
"institute",80
"leo",80
"q",80
"tahitians",80
"wales",80
"guinean",79
"rhodes",79
"trawling",79
"coates",78
"dilboi",78
"ebert",78
"h.h",78
"hayward",78
"yumiko",78
"allanson",77
"e.m",77
"lynghammar",77
"nam",77
"roberto",77
"banner",76
"pintler",76
"bv",75
"graham",75
"owens",75
"ronquillo",75
"stewart",75
"takao",75
"cordone",74
"erdmann",74
"ishiyama",74
"m.a",74
"reizo",74
"staff",73
"steinhart",73
"tg",73
"assoc",72
"cimberg",72
"s.f",72
"clifford",71
"ddr",71
"ilues",71
"kazuo",71
"sachiko",71
"waldron",71
"angel",70
"aquatic",70
"dai",70
"leonard",70
"nhon",70
"pearse",70
"a.j",69
"l.w",69
"mw",69
"francisco",68
"nqrmekur",68
"rakowicz",68
"shideler",68
"coker",67
"greene",67
"j.k",67
"hwang",66
"laurent",66
"pacific",66
"ripley",66
"sandra",66
"tsen",66
"w.e",66
"zool",66
"d.a",65
"darren",65
"exley",65
"f.d",65
"j.b",65
"jachim",65
"pioneer",65
"sinter",65
"a.b",64
"copus",64
"gotshall",64
"khin",64
"koford",64
"kyi",64
"naing",64
"powell",64
"hobson",63
"kuris",63
"loomis",63
"edgerton",62
"erik",62
"g.h",62
"iosimori",62
"j.i",62
"kellum",62
"kai",61
"march",61
"nelson",61
"rengiil",61
"soc",61
"torrevellias",61
"w.a",61
"wilbert",61
"maria",60
"oscar",60
"robison",60
"s.d",60
"s.g",60
"solorzano",60
"toshiro",60
"basilung",59
"boat",59
"filipino",59
"larsen",59
"vongsay",59
"warren",59
"belesam",58
"cailliet",58
"d.j",58
"kliever",58
"nemoto",58
"oliver",58
"pak",58
"sinao",58
"tadao",58
"lawson",57
"tang",57
"yarok",57
"baei",56
"bermingham",56
"bernal",56
"bruun",56
"caul",56
"champaco",56
"choat",56
"development",56
"dr",56
"helfrich",56
"mack",56
"mark",56
"moises",56
"nisbet",56
"r.n",56
"cabral",55
"catherine",55
"cleaver",55
"grey",55
"tauaitiu",55
"w.m",55
"bromhall",54
"burke",54
"castro",54
"inc",54
"j.r",54
"lynne",54
"marsh",54
"miria",54
"taitos",54
"v.e",54
"antonino",53
"cox",53
"oceanogr",53
"peckham",53
"rm",53
"to",53
"zoo",53
"adams",52
"baker",52
"breeden",52
"c.c",52
"iverson",52
"kwaehalara",52
"lopez",52
"mcgowan",52
"nutting",52
"phillips",52
"wakefield",52
"br",51
"deleon",51
"horner",51
"julio",51
"larson",51
"miyos",51
"mus",51
"musick",51
"pinyo",51
"skilang",51
"hallacher",50
"j.p",50
"swift",50
"tarp",50
"zane",50
"ablan",49
"apolinar",49
"cp",49
"file",49
"fitch",49
"g.m",49
"morton",49
"norris",49
"quelvog",49
"yoshiyama",49
"admin",48
"bert",48
"fesler",48
"nancy",48
"rita",48
"twesukdi",48
"u.k",48
"anfe",47
"de",47
"huang",47
"kaich",47
"m.g",47
"robin",47
"baumler",46
"crewmembers",46
"dd",46
"e.w",46
"ej",46
"griffin",46
"aiko",45
"allan",45
"bailey",45
"damien",45
"overseas",45
"r.k",45
"rentz",45
"vega",45
"cheyne",44
"delacy",44
"domantay",44
"e.b",44
"ed",44
"fu",44
"mar",44
"mesubed",44
"percival",44
"ping",44
"reiko",44
"strohbeen",44
"te",44
"b.b",43
"caldwell",43
"chandler",43
"d.s",43
"davis",43
"farallones",43
"jim",43
"leech",43
"locals",43
"m.v",43
"montilla",43
"oceanic",43
"pty",43
"seegrist",43
"sunnit",43
"zoology",43
"electronics",42
"interstate",42
"kubach",42
"n.j",42
"rechnitzer",42
"tarimel",42
"bangkok",41
"calhoun",41
"curtis",41
"ari",40
"hendricks",40
"merkel",40
"ming",40
"peden",40
"yahl",40
"zi",40
"ap",39
"asaeda",39
"bundy",39
"cadiz",39
"pedretti",39
"blasford",38
"camm",38
"carole",38
"chivers",38
"howard",38
"ian",38
"kopec",38
"melgar",38
"napangmuen",38
"vk",38
"abe",37
"ah",37
"comm",37
"f.h",37
"hh",37
"hibbard",37
"j.w",37
"landingham",37
"mead",37
"polynesia",37
"reed",37
"ship's",37
"sumong",37
"wass",37
"boomer",36
"consulting",36
"cribb",36
"d.g",36
"e.h",36
"environmental",36
"f.b",36
"faughn",36
"good",36
"hanham",36
"j.t",36
"prachoub",36
"remson",36
"scofield",36
"yarotoman",36
"abell",35
"alaska",35
"balma",35
"capt",35
"clerkin",35
"elham",35
"eyerdam",35
"fox",35
"gard",35
"gw",35
"herms",35
"lee",35
"olkeriel",35
"palauan",35
"sanger",35
"alban",34
"bartholomew",34
"baylis",34
"bohlke",34
"bs",34
"compagno",34
"j.g",34
"la",34
"omengkar",34
"peachy",34
"rainey",34
"ronald",34
"stegemann",34
"thayer",34
"via",34
"wilimovsky",34
"z",34
"anton",33
"bleick",33
"brian",33
"douglas",33
"echam",33
"fijians",33
"giovanni",33
"heller",33
"kadmgan",33
"l.j",33
"parties",33
"rosa",33
"starks",33
"wourms",33
"yarofoman",33
"chai",32
"clemens",32
"consultants",32
"fairbanks",32
"fishing",32
"gerry",32
"mantilla",32
"r.e",32
"russo",32
"stephens",32
"wellington",32
"wood",32
"a.e",31
"d.h",31
"damion",31
"dm",31
"drewes",31
"k.e",31
"naru",31
"osada",31
"spivey",31
"taft",31
"team",31
"w.l",31
"woolman",31
"z.m",31
"asih",30
"bapilong",30
"c.a",30
"campbell",30
"cavalier",30
"conservation",30
"edward",30
"g.w",30
"ichthyology",30
"jensen",30
"loukashkin",30
"mikkel",30
"musorstom",30
"nijssen",30
"r.b",30
"r.f",30
"rehren",30
"sherbrooke",30
"sumner",30
"w.o",30
"wilde",30
"a.d",29
"arsini",29
"carvalho",29
"cheney",29
"edenfeld",29
"engrs",29
"exploratory",29
"gabel",29
"gordon",29
"group",29
"haight",29
"holm",29
"isezaki",29
"jewett",29
"lads",29
"mariscal",29
"mcindoo",29
"puerto",29
"rex",29
"strange",29
"t.h",29
"aec",28
"c.w",28
"carlson",28
"derby",28
"divers",28
"ich",28
"kirsch",28
"limnology",28
"manzano",28
"matson",28
"mrs",28
"parrish",28
"prof",28
"r.t",28
"rowley",28
"rsmas",28
"sakai",28
"tener",28
"wetzel",28
"ang",27
"augustil",27
"bradley",27
"bsh",27
"colburn",27
"fong",27
"jc",27
"josed",27
"l.g",27
"market",27
"otte",27
"rican",27
"rr",27
"yepez",27
"yesaki",27
"amer",26
"d.c",26
"earle",26
"fleet",26
"g.l",26
"goodwin",26
"herp",26
"j.v",26
"kendall",26
"kenneth",26
"mcdonald",26
"min",26
"mitaro",26
"pay",26
"pitcher",26
"reseck",26
"shark",26
"slevin",26
"small",26
"spenger",26
"tuant",26
"wing",26
"camp",25
"carol",25
"cobb",25
"comparative",25
"dario",25
"don",25
"fabio",25
"hardy",25
"j.h",25
"kiwala",25
"lockhart",25
"lynch",25
"mary",25
"mills",25
"morrison",25
"others",25
"p.c",25
"parin",25
"rojchai",25
"satrawaha",25
"shimizu",25
"a.m",24
"bm",24
"breidenbach",24
"c.f.g",24
"clarke",24
"hoffman",24
"i.a",24
"kimsey",24
"li",24
"long",24
"matthias",24
"michael",24
"potter",24
"pp",24
"r.g",24
"s.e",24
"sepbop",24
"serv",24
"stehmann",24
"tetsuo",24
"us",24
"villadolid",24
"a.c",23
"a.s",23
"adelbai",23
"asieda",23
"caira",23
"cambodian",23
"div",23
"ivy",23
"k.s",23
"ken",23
"lattin",23
"lloyd",23
"mongold",23
"moyle",23
"n.y",23
"pinkas",23
"r.h",23
"ricric",23
"sakamoto",23
"usfws",23
"vietnamese",23
"vindum",23
"dean",22
"dwyer",22
"ecology",22
"ellis",22
"gates",22
"gomez",22
"h.e",22
"jennings",22
"m.b",22
"n.e",22
"nabhitabhata",22
"nikolai",22
"o.p",22
"or",22
"starck",22
"troy",22
"w.w",22
"weshal",22
"abele",21
"antrim",21
"beland",21
"berdegue",21
"cliff",21
"darwin",21
"decan",21
"dingerkus",21
"e.e",21
"emalise",21
