"TypeStatus","Count"
"paratype",2263
"holotype",852
"syntype",258
"paralectotype",216
"lectotype",51
"type",31
"neotype",17
"holotype & paratype",12
"paratype?",7
"lectotype & paralectotype",4
"holotype?",2
"syntype?",1
