"Continent","Count"
"north america",38231
"asia",37790
"pacific ocean",18160
"oceania",17084
"south america",13632
"africa",3860
"atlantic ocean",2014
"europe",1960
"australia",944
"indian ocean",417
"caribbean sea",263
"arctic ocean",231
"antarctica",165
"gulf of mexico",127
"red sea",9
"mediterranean sea",4
"antarctic ocean",1
"persian gulf",1
