"Waterbody","Count"
"drainage: feather r.",13
"estrecho de magallanes",13
"gulf of dulce",13
"humboldt bay",13
"iowa river",13
"james river",13
"kaituma r.",13
"korea bay",13
"kribi r. system; chenge r.",13
"lake edward",13
"lake washington",13
"lokunje r.",13
"lower r. santiago",13
"perak r.",13
"putah creek",13
"r. amazonas basin; r. morona",13
"r. guarico basin",13
"r. motatan",13
"r. orinoco-guaviare basin; r. losada",13
"r. san pedro",13
"r. tambopata",13
"sioux river",13
"volta r. basin",13
"wayan creek",13
"willamette r.",13
"adyar r.",12
"bear r.",12
"beaver creek",12
"black warrior river",12
"china sea",12
"coppename r. basin; coseswijne r.",12
"cottonwood cr.",12
"dismal swamp",12
"drainage: r. grande de santiago; laguna de chapala",12
"funghwa (fung hiva?) river",12
"ganges river drainage",12
"lake michigan",12
"lake ontario",12
"lingayen gulf",12
"lyall bay",12
"nacimiento river",12
"r. grande",12
"r. guanipa",12
"r. panuco basin; r. verde",12
"r. pina",12
"rock river",12
"tamusui r.",12
"white volta",12
"agogo r.",11
"benito river system; mengo river",11
"big sasparilla river",11
"buguey river",11
"cagayan r.",11
"cayuga lake",11
"cedar or root river",11
"congo (zaire) r. basin; ikabo r.",11
"dry creek",11
"essequibo r. basin; lower potaro r.",11
"golfo de batabano",11
"gulf of mexico",11
"indian river",11
"karluk lake",11
"kinabutan r.",11
"lama creek",11
"opequon creek",11
"orinoco r. basin; r. tinaquillo",11
"pansipit r. drainage; lake bombon (=lake taal)",11
"pra r. basin ?; birrim r.",11
"r. esmeraldas basin; r. cupa",11
"r. quininde",11
"rio sugandi",11
"round lake",11
"san benito river",11
"sanaga r. system; sanaga r.",11
"santa maria bay",11
"tanjay r.",11
"tanjay river",11
"trinity river",11
"volta r. basin; afram r.",11
"wadell creek",11
"'caldera bay'",10
"'menam chao phya'",10
"agusan r.",10
"ankwao r.",10
"avedzake creek",10
"bahia asuncion",10
"bahia de los frailes",10
"batang padang r.",10
"big creek",10
"big sandy river",10
"blue lake",10
"bodega bay",10
"chignik bay",10
"cumberland river",10
"dapitan bay",10
"drainage: lobe riv. syst.; lingi river",10
"drainage: ntem or campo r. sys.; ebolawa, mfiande, seng rivs.",10
"ezezam r.",10
"holstein river",10
"indispensable strait",10
"kribi river system; ebome river",10
"lake naujan",10
"little miami river",10
"massachusetts bay",10
"melombo r.",10
"mindanao sea",10
"napa river",10
"nyong r. basin; mfunde r.",10
"orinoco r. basin; r. guarico",10
"r. amazonas basin; tuye cano",10
"r. bacanga",10
"r. del puerte de quelite",10
"rio ampiyacu",10
"sacramento r.",10
"walla walla river",10
"amaw r.",9
"anambra r.",9
"ankobra r.",9
"anyagborti cr.",9
"bahia potrero grande",9
"carmel r.",9
"copper r. basin; fish lake",9
"copper r. basin; long lake",9
"copper r. basin; old man lake",9
"drainage: columbia",9
"drainage: congo r.",9
"drainage: hsi river",9
"drainage: perak river",9
"hugli river",9
"kranji r.",9
"kribi r. system; bilobi r.",9
"l. pontchartrain",9
"lake pulaski",9
"little otter cr.",9
"little sandy river",9
"lobi river system",9
"lokunje r. basin; bikui r.",9
"mayfield creek",9
"mccloud r.",9
"momjepom r.",9
"ntem river system; kom river",9
"nyong river",9
"ofin river",9
"okhotsk sea",9
"papenoo r.",9
"r. amazonas",9
"r. amazonas basin; r. caguan",9
"r. amazonas basin; r. madeira",9
"sacramento r. system; mccloud r.",9
"salinas river",9
"sanaga riv.",9
"shasta r.",9
"siang r.",9
"south fork eel r.",9
"tyrrhenian sea",9
"aniwa bay",8
"bahia de guaymas",8
"barataria bay",8
"bia drainage",8
"black sea",8
"cache creek",8
"cagayan river",8
"columbia r. basin; weiser r.",8
"congo r. system; ja r.",8
"copper r. basin; paxson lake",8
"demerara r. basin",8
"drainage: ganges delta; hooghly (hugli) r.",8
"drainage: r. tapajos",8
"drainage: r. uribante",8
"drainage: walker r.",8
"elbe river",8
"elson lagoon",8
"green r.",8
"gulf of lingayen",8
"hai r. drainage; pei-ho river",8
"klamath river",8
"komoe r. basin; nkasupir r.",8
"lake phewa tal",8
"meade r.",8
"mefo r.",8
"meng r.",8
"mvila river",8
"neuse river",8
"ntem or campo r. system; mfiande & seng rivers",8
"ntem r. basin; mfiande r.",8
"ntem riv. system; seng river",8
"ntem river system; small stream",8
"orinoco r. basin; r. casiquiare",8
"pawmpawm r.",8
"potomac river",8
"r. amazonas basin; l. do maica",8
"r. amazonas basin; lago cashiboya",8
"r. bejuma",8
"r. conchos",8
"rio cuchijaqui",8
"rio grande",8
"smith creek",8
"tokyo bay",8
"umatilla r.",8
"wabash river",8
"adobe creek",7
"bahia de la independencia",7
"beaufort sea",7
"big barren river",7
"cape fear river",7
"colorado r.",7
"colorado r. basin; colorado r.",7
"copper r. basin; gulkana r.",7
"creek",7
"douglas lake",7
"drainage: r. grande (bravo?); r. de los conchos",7
"drainage: r. grande de santiago; r. verde de aguascalientes",7
"false bay",7
"farmington r.",7
"gulf of fonseca",7
"gulf of ragay",7
"indian creek",7
"kagoshima wan",7
"kaiwi channel",7
"karig malam r.",7
"kenini river",7
"korea strait",7
"kribi river system; chenge river",7
"lagunitas creek",7
"lake almanor",7
"lake of the woods",7
"lake sentani",7
"lake taal (bombon)",7
"lobe r. system",7
"lobi river",7
"lobitos creek",7
"lokendu r.",7
"lost river",7
"lower volta r.",7
"lumber r.",7
"maumee river",7
"mississippi r. basin",7
"muar river",7
"north fork navarro r.",7
"ntem or campo r. basin; mfiande & seng rivers",7
"nyong river system; mfunde river",7
"okanogan r.",7
"orinoco r. basin; laguna el guacimo",7
"pearl r.",7
"perak river",7
"post office bay",7
"provo r. basin; provo r.",7
"quatse river",7
"r. acoponeta",7
"r. amana (amanda?)",7
"r. amazonas basin; lago grande (do javary ?)",7
"r. amazonas basin; r. amazonas",7
"r. amazonas basin; r. branco",7
"r. atrato basin; r. truando",7
"r. carichapo",7
"r. lagarto",7
"r. limon",7
"r. mulege",7
"r. nazas",7
"r. sao francisco",7
"r. sao francisco basin; r. sao francisco",7
"rejang river",7
"rio abudi",7
"rio san marcos",7
"roaring river",7
"sac river",7
"san pedro channel",7
"sanaga r. basin",7
"santa maria r.",7
"santa monica bay",7
"silvies river",7
"smith r.",7
"tiffin river",7
"tillamook r.",7
"trou caiman spring",7
"umatilla river",7
"uraga suido",7
"weddell sea",7
"wolf creek",7
"yellow sea",7
"admiralty inlet ?",6
"almejas bay",6
"alsea r.",6
"auau channel",6
"auglaize river",6
"balang r.",6
"balung river",6
"bear valley cr.",6
"big sioux river",6
"bolinas lagoon",6
"botany bay",6
"buffalo bayou",6
"campo r. system; bivome r.",6
"chagres r.",6
"chignik river",6
"clough creek",6
"columbia r. basin; snake r.",6
"congo river",6
"copper r. basin; copper lake",6
"darwin bay",6
"davis strait",6
"delaware river",6
"drainage: colorado",6
"drainage: congo river",6
"drainage: weber r.",6
"east walker r.",6
"essequibo r. basin; rupununi river",6
"fish creek",6
"five points creek",6
"ganges river drainage; hugli river",6
"gangevaram lagoon",6
"harpeth river",6
"hood canal",6
"horse thief springs",6
"hugli r.",6
"hunter cr.",6
"idavain lake",6
