"Waterbody","Count"
"drainage: irrawaddy (binlangjiang)",18
"ferriers creek",18
"janao bay",18
"kiliuda bay",18
"upper clear lake",18
"villamil bay",18
"atliklikun bay",17
"cache creek",17
"chukchi sea",17
"drainage: mekong delta",17
"elkhorn slough",17
"krishna r. basin",17
"r. amazonas basin; r. beni",17
"r. san juan basin",17
"rio parana basin",17
"russian r. basin; mark west cr.",17
"sacramento r. basin",17
"scott creek",17
"sungai kelantan drainage",17
"sungai seruyan basin",17
"cache r. drainage; bradshaw cr.",16
"drainage: eel river",16
"drainage: salinas river",16
"gogol r. basin; maeabudud r.",16
"lama creek",16
"nw chukchi sea",16
"orinoco r. basin; quebrada cramalote",16
"r. amana (amanda?)",16
"r. de madre dios basin",16
"r. patia basin",16
"rapti r. basin; dudara r.",16
"siokun bay",16
"tanabe bay",16
"taylor cr.",16
"agua maria correia",15
"beaufort harbor",15
"bocochibampo bay",15
"bolinas bay",15
"cahaba river",15
"columbia r.",15
"drainage: james river",15
"drainage: mad. r.",15
"drainage: sevier r.",15
"drainage: trinity river",15
"e okhotsk sea",15
"gogol basin",15
"golfo de chiriqui",15
"menam bang nara basin",15
"napa r.",15
"r. negro",15
"rio motagua basin",15
"rio san juan",15
"saiburi basin",15
"sea of cortes",15
"shambave r.",15
"baram r. drainage",14
"black sea",14
"coos bay",14
"cowan (james) bay",14
"drainage: irrawaddy river",14
"drainage: rio guayas",14
"drainage: truckee r./pyramid lake",14
"eel r.",14
"hola bay",14
"inle lake",14
"kapuas r. basin; sungai paklehung",14
"north fork cosumnes r.",14
"old r.",14
"r. guayas drainage; r. vinces",14
"r. magdalena basin ; r. cauca",14
"r. tapiche basin",14
"r. tigre",14
"rio sao francisco basin; rio sao francisco",14
"tolo channel",14
"waddell cr.",14
"black warrior river",13
"chantaburi basin",13
"colorado r.",13
"drainage: columbia r.",13
"drainage: coyote r.",13
"lake huron",13
"magdalena r. basin; rio cauca basin",13
"orinoco r. basin; r. meta",13
"parana/de la plata basin",13
"pedregal r.",13
"r. amazonas basin; lago yarinacocha",13
"r. amazonas basin; r. colorado",13
"r. marguareta",13
"r. motagua basin; r. managua",13
"rapti r. drainage; lotal r.",13
"trang r. basin",13
"waddell creek",13
"wreck bay",13
"yukon r. basin",13
"aravaipa creek",12
"drainage: parana/de la plata; r. paraguay",12
"drake's bay",12
"essequibo r. basin; lower potaro river",12
"gogol r. drainage; ulieg creek",12
"guaymas bay",12
"haapu bay",12
"irrawaddy r. drainage",12
"kanayama bay",12
"kapuas r. basin; kapuas r.",12
"lago valencia",12
"mad r.",12
"mekong basin; mekong r. mainstream",12
"mississippi r. drainage",12
"orinoco r. basin; r. atabapo",12
"parana/de la plata basin; arroyo trementina",12
"r. amazonas basin; r. maranon",12
"r. bue",12
"r. guayas basin; r. daule",12
"r. hualaga system",12
"r. itu",12
"r. polochic system",12
"r. san juan basin ; r. condoto",12
"russian r. basin; maacama cr.",12
"santa maria bay",12
"santa monica bay",12
"sattahip bay",12
"sibuguey bay",12
"takuapa r. basin",12
"upper rapti r.",12
"yukon r. delta",12
"anchor bay",11
"auke bay",11
"bahia de los angeles",11
"batang balui",11
"bear creek",11
"chiniak bay",11
"columbia r. basin; columbia r.",11
"drainage: cheat river; shaver's fork",11
"drainage: irrawaddy (dayinjiang)",11
"drainage: klamath r.",11
"drainage: lake winnipeg/nelson riv",11
"drainage: parana/de la plata; arroyo trementina",11
"essequibo r. basin; konawaruk pool",11
"gihmel (ngerimel) r.",11
"irrawaddy river drainage",11
"kaiugnak bay",11
"karluk lake",11
"lago de maracaibo",11
"mccluer gulf",11
"mozambique channel",11
"n. gulf of patras",11
"netravati r. system",11
"ngeremeskang r.",11
"papermill cr.",11
"parson's bay",11
"poha r.",11
"r. amazonas",11
"r. amazonas basin; r. ucayali",11
"r. ampiyacu",11
"r. dagua basin ; r. dagua",11
"r. demerara basin; demarara r.",11
"r. jufari",11
"r. san juan basin ; upper rio san juan",11
"rambler channel",11
"ramu r. drainage; bosngun (bur) r.",11
"redwood cr.",11
"rio cricamola",11
"rio urubamba",11
"sagehen cr.",11
"san joaquin r. basin",11
"saosoko gawa r.",11
"se gulf of alaska",11
"sea of okhotsk",11
"sibuyan sea",11
"sungai kelantan basin",11
"visayan sea",11
"youlbeluu stream",11
"alder cr.",10
"bahia panama",10
"bahia tortugas",10
"banderas bay",10
"bang pakong r.",10
"bedti (gangavali) r.",10
"chukchi borderlands",10
"culiacan r.",10
"darwin bay",10
"drainage: colorado r.; green r.",10
"drainage: humboldt r.",10
"drainage: la merced, rio chanchamayo",10
"drainage: parana/de la plata",10
"drainage: ramu river",10
"drainage: red river",10
"drainage: rempi r.",10
"drainage: rio jequetepeque",10
"drainage: rio sao francisco",10
"dry creek",10
"ginoza gawa",10
