"Continent","Count"
"north america",21944
"asia",18196
"south america",11442
"atlantic ocean",5613
"africa",3809
"oceania",2604
"pacific ocean",1352
"australia",618
"europe",564
"antarctica",327
"gulf of mexico",165
"caribbean sea",45
"indian ocean",35
"arctic ocean",12
"mediterranean sea",3
"baltic sea",1
"persian gulf",1
