"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"whole organism (alcohol)","wnmu","fish specimens","123","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","137","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","239","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","367","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","26","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","330","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","40","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","32","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","229","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","355","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","201","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","174","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","206","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","24","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","217","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","333","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","22","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","255","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","343","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","311","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","141","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","15","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","128","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","241","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","368","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","354","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","63","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","303","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","188","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","39","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","23","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","302","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","264","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","350","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","249","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","345","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","102","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","224","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","163","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","250","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","96","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","210","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","149","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","165","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","220","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","267","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","375","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","360","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","34","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","306","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","326","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","292","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","376","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","155","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","218","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","104","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","275","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","208","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","77","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","35","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","168","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","232","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","236","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","178","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","153","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","75","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","74","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","301","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","351","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","161","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","233","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","49","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","213","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","252","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","17","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","66","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","216","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","147","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","336","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","183","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","260","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","83","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","334","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","126","EtOH","","",NA,NA,NA,68
"whole organism (alcohol)","wnmu","fish specimens","48","EtOH","","",NA,NA,NA,68
