"Waterbody","Count"
"gulf of mexico",274
"apalachee bay",132
"atlantic ocean",122
"ochlockonee river",51
"wakulla river",40
"st. marks river",35
"pacific ocean",13
"ochlockonee bay",9
"wassaw sound",9
"vernon river",3
"st. george sound",2
"atalantic ocean",1
"franklin county",1
"gulf of california",1
"gulf of mexco",1
"mississippi delta",1
"ochlocknee river",1
"rockcastle river",1
"romerly marsh creek",1
"trammel creek",1
"york river",1
