"dwc.preparations","freq"
"187 in 70% EtOH",4
"192 in 70% EtOH",4
"2 in 70% EtOH; 1 in 95% EtOH",4
"2 in 70% EtOH; 2 in 95% EtOH",4
"211 in 70% EtOH",4
"236 in 70% EtOH",4
"287 in 70% EtOH",4
"288 in 70% EtOH",4
"3 in 70% EtOH; 2 in C&S",4
"4 in 70% EtOH; 1 in 95% EtOH",4
"7 in 70% EtOH; 1 in C&S",4
"7 in 70% EtOH; 3 in C&S",4
"1 in 70% EtOH; 4 in 95% EtOH",3
"10 in 70% EtOH; 1 in 95% EtOH",3
"13 in 70% EtOH; 2 in C&S",3
"13 in 70% EtOH; 4 in C&S",3
"138 in 70% EtOH",3
"151 in 70% EtOH",3
"158 in 70% EtOH",3
"161 in 70% EtOH",3
"164 in 70% EtOH",3
"171 in 70% EtOH",3
"174 in 70% EtOH",3
"179 in 70% EtOH",3
"182 in 70% EtOH",3
"184 in 70% EtOH",3
"189 in 70% EtOH",3
"19 in 70% EtOH; 2 in C&S",3
"194 in 70% EtOH",3
"195 in 70% EtOH",3
"2 in 70% EtOH; 3 in 95% EtOH",3
"20 in 70% EtOH; 2 in C&S",3
"202 in 70% EtOH",3
"203 in 70% EtOH",3
"21 in 70% EtOH; 2 in C&S",3
"210 in 70% EtOH",3
"213 in 70% EtOH",3
"219 in 70% EtOH",3
"227 in 70% EtOH",3
"231 in 70% EtOH",3
"234 in 70% EtOH",3
"235 in 70% EtOH",3
"258 in 70% EtOH",3
"260 in 70% EtOH",3
"269 in 70% EtOH",3
"277 in 70% EtOH",3
"278 in 70% EtOH",3
"283 in 70% EtOH",3
"290 in 70% EtOH",3
"296 in 70% EtOH",3
"3 in 70% EtOH; 2 in 95% EtOH",3
"312 in 70% EtOH",3
"313 in 70% EtOH",3
"325 in 70% EtOH",3
"350 in 70% EtOH",3
"351 in 70% EtOH",3
"4 in 70% EtOH; 2 in 95% EtOH",3
"404 in 70% EtOH",3
"5 in 70% EtOH; 3 in 95% EtOH",3
"5 in 95% EtOH",3
"6 in 70% EtOH; 1 in C&S",3
"6 in 70% EtOH; 3 in C&S",3
"600 in 70% EtOH",3
"7 in 70% EtOH; 1 in 95% EtOH",3
"8 in 70% EtOH; 3 in C&S",3
"0 in 70% EtOH; 1 in skeleton",2
"1 in 70% EtOH; 2 in C&S",2
"12 in 70% EtOH; 2 in C&S",2
"12 in 70% EtOH; 3 in 95% EtOH",2
"12 in 70% EtOH; 3 in C&S",2
"15 in 70% EtOH; 2 in C&S",2
"15 in 70% EtOH; 5 in C&S",2
"154 in 70% EtOH",2
"157 in 70% EtOH",2
"16 in 70% EtOH; 1 in 95% EtOH",2
"16 in 70% EtOH; 4 in C&S",2
"17 in 70% EtOH; 3 in C&S",2
"173 in 70% EtOH",2
"177 in 70% EtOH",2
"18 in 70% EtOH; 2 in C&S",2
"181 in 70% EtOH",2
"188 in 70% EtOH",2
"197 in 70% EtOH",2
"198 in 70% EtOH",2
"2 in C&S",2
"2 in skeleton",2
"20 in 70% EtOH; 3 in C&S",2
"201 in 70% EtOH",2
"212 in 70% EtOH",2
"215 in 70% EtOH",2
"22 in 70% EtOH; 3 in C&S",2
"220 in 70% EtOH",2
"224 in 70% EtOH",2
"232 in 70% EtOH",2
"237 in 70% EtOH",2
"24 in 70% EtOH; 1 in 95% EtOH",2
"24 in 70% EtOH; 3 in 95% EtOH",2
"240 in 70% EtOH",2
"241 in 70% EtOH",2
"242 in 70% EtOH",2
"243 in 70% EtOH",2
"247 in 70% EtOH",2
"256 in 70% EtOH",2
"257 in 70% EtOH",2
"26 in 70% EtOH; 2 in C&S",2
"261 in 70% EtOH",2
"262 in 70% EtOH",2
"265 in 70% EtOH",2
"273 in 70% EtOH",2
"274 in 70% EtOH",2
"276 in 70% EtOH",2
"28 in 70% EtOH; 2 in C&S",2
"292 in 70% EtOH",2
"295 in 70% EtOH",2
"300 in 70% EtOH",2
"307 in 70% EtOH",2
"308 in 70% EtOH",2
"31 in 70% EtOH; 2 in C&S",2
"319 in 70% EtOH",2
"32 in 70% EtOH; 2 in 95% EtOH",2
"328 in 70% EtOH",2
"352 in 70% EtOH",2
"354 in 70% EtOH",2
"37 in 70% EtOH; 3 in 95% EtOH",2
"373 in 70% EtOH",2
"379 in 70% EtOH",2
"38 in 70% EtOH; 3 in C&S",2
"389 in 70% EtOH",2
"40 in 70% EtOH; 5 in C&S",2
"402 in 70% EtOH",2
"413 in 70% EtOH",2
"450 in 70% EtOH",2
"459 in 70% EtOH",2
"5 in 70% EtOH; 1 in 95% EtOH",2
"500 in 70% EtOH",2
"553 in 70% EtOH",2
"556 in 70% EtOH",2
"7 in 70% EtOH; 2 in 95% EtOH",2
"8 in 70% EtOH; 1 in 95% EtOH",2
"8 in 70% EtOH; 3 in 95% EtOH",2
"8 in 95% EtOH",2
"9 in 70% EtOH; 1 in skeleton",2
"9 in 70% EtOH; 2 in 95% EtOH",2
"1 in 70% EtOH; 1 in skeleton",1
"1 in 70% EtOH; 2 in 95% EtOH; 1 in C&S",1
"1 in 70% EtOH; 3 in 95% EtOH",1
"1 in 70% EtOH; 5 in 95% EtOH",1
"1 in 70% EtOH; 6 in 95% EtOH",1
"1 in 70% EtOH; 7 in 95% EtOH",1
"1 in 70% EtOH; 9 in 95% EtOH",1
"10 in 70% EtOH; 1 in C&S",1
"10 in 70% EtOH; 8 in 95% EtOH",1
"1006 in 70% EtOH",1
"1031 in 70% EtOH",1
"104 in 70% EtOH; 5 in 95% EtOH",1
"1074 in 70% EtOH",1
"108 in 70% EtOH; 11 in 95% EtOH",1
"109 in 70% EtOH; 5 in C&S",1
"11 in 70% EtOH; 1 in C&S",1
"11 in 70% EtOH; 1 in skeleton",1
"11 in 70% EtOH; 11 in 95% EtOH",1
"11 in 70% EtOH; 2 in 95% EtOH",1
"11 in 70% EtOH; 3 in C&S",1
"11 in 70% EtOH; 4 in C&S",1
"117 in 70% EtOH; 5 in 95% EtOH",1
"12 in 70% EtOH; 1 in skeleton",1
"12 in 70% EtOH; 2 in skeleton",1
"12 in 70% EtOH; 4 in C&S",1
"12 in 70% EtOH; 5 in 95% EtOH",1
"12 in 70% EtOH; 6 in 95% EtOH",1
"12 in 70% EtOH; 7 in 95% EtOH",1
"13 in 70% EtOH; 1 in skeleton",1
"13 in 70% EtOH; 2 in 95% EtOH",1
"13 in 70% EtOH; 3 in 95% EtOH",1
"13 in 70% EtOH; 3 in C&S",1
"13 in 95% EtOH",1
"14 in 70% EtOH; 1 in 95% EtOH",1
"14 in 70% EtOH; 11 in 95% EtOH",1
"14 in 70% EtOH; 2 in 95% EtOH",1
"14 in 70% EtOH; 2 in C&S",1
"14 in 70% EtOH; 3 in C&S",1
"14 in 70% EtOH; 5 in 95% EtOH",1
"14 in 70% EtOH; 5 in C&S",1
"140 in 70% EtOH; 2 in C&S",1
"143 in 70% EtOH; 2 in C&S",1
"1437 in 70% EtOH",1
"15 in 70% EtOH; 1 in 95% EtOH",1
"15 in 70% EtOH; 2 in 95% EtOH",1
"15 in 70% EtOH; 3 in 95% EtOH",1
"150 in 70% EtOH; 5 in C&S",1
"152 in 70% EtOH; 5 in 95% EtOH",1
"16 in 70% EtOH; 2 in C&S",1
"16 in 70% EtOH; 3 in C&S",1
"16 in 70% EtOH; 6 in 95% EtOH",1
"17 in 70% EtOH; 2 in C&S",1
"17 in 70% EtOH; 4 in 95% EtOH",1
"17 in 70% EtOH; 7 in 95% EtOH",1
"177 in 70% EtOH; 5 in C&S",1
"18 in 70% EtOH; 1 in 95% EtOH",1
"18 in 70% EtOH; 1 in C&S",1
"18 in 70% EtOH; 17 in 95% EtOH",1
"18 in 70% EtOH; 3 in 95% EtOH",1
"18 in 70% EtOH; 3 in C&S",1
"18 in 70% EtOH; 4 in C&S",1
"18 in 70% EtOH; 7 in 95% EtOH",1
"18 in 95% EtOH",1
"19 in 70% EtOH; 2 in 95% EtOH",1
"19 in 70% EtOH; 3 in 95% EtOH",1
"19 in 70% EtOH; 3 in C&S",1
"19 in 70% EtOH; 4 in C&S",1
"193 in 70% EtOH",1
"196 in 70% EtOH",1
"2 in 70% EtOH; 12 in 95% EtOH",1
"2 in 70% EtOH; 19 in 95% EtOH",1
"2 in 70% EtOH; 5 in 95% EtOH",1
"20 in 70% EtOH; 2 in 95% EtOH",1
"20 in 70% EtOH; 4 in 95% EtOH",1
"20 in 70% EtOH; 7 in C&S",1
"207 in 70% EtOH",1
"21 in 70% EtOH; 1 in 95% EtOH",1
"21 in 70% EtOH; 1 in C&S",1
"21 in 70% EtOH; 3 in C&S",1
"21 in 70% EtOH; 5 in 95% EtOH",1
"212 in 70% EtOH; 10 in C&S",1
"214 in 70% EtOH",1
"217 in 70% EtOH",1
"218 in 70% EtOH",1
"22 in 70% EtOH; 4 in C&S",1
"2212 in 70% EtOH",1
"222 in 70% EtOH",1
"229 in 70% EtOH",1
"23 in 70% EtOH; 16 in 95% EtOH",1
"23 in 70% EtOH; 2 in C&S",1
"23 in 70% EtOH; 4 in 95% EtOH",1
"233 in 70% EtOH",1
"239 in 70% EtOH",1
"24 in 70% EtOH; 2 in C&S",1
"24 in 70% EtOH; 5 in C&S",1
"244 in 70% EtOH",1
"245 in 70% EtOH",1
"248 in 70% EtOH",1
"25 in 70% EtOH; 1 in skeleton",1
"25 in 70% EtOH; 11 in 95% EtOH",1
"25 in 70% EtOH; 3 in C&S",1
"25 in 70% EtOH; 38 in 95% EtOH",1
"25 in 70% EtOH; 5 in C&S",1
"251 in 70% EtOH",1
"254 in 70% EtOH",1
"255 in 70% EtOH",1
"26 in 70% EtOH; 1 in 95% EtOH",1
"26 in 70% EtOH; 7 in 95% EtOH",1
"263 in 70% EtOH",1
"267 in 70% EtOH",1
"27 in 70% EtOH; 5 in 95% EtOH",1
"27 in 70% EtOH; 5 in C&S",1
"27 in 70% EtOH; 7 in 95% EtOH",1
"27 in 70% EtOH; 9 in 95% EtOH",1
"270 in 70% EtOH",1
"28 in 70% EtOH; 11 in 95% EtOH",1
"28 in 70% EtOH; 2 in 95% EtOH",1
"281 in 70% EtOH",1
"284 in 70% EtOH",1
"286 in 70% EtOH",1
"29 in 70% EtOH; 1 in 95% EtOH",1
"29 in 70% EtOH; 1 in C&S",1
"29 in 70% EtOH; 4 in 95% EtOH",1
"29 in 95% EtOH",1
"291 in 70% EtOH",1
"293 in 70% EtOH",1
"294 in 70% EtOH",1
"297 in 70% EtOH",1
"299 in 70% EtOH",1
"3 in 70% EtOH; 1 in C&S; 1 in skeleton",1
"3 in 70% EtOH; 30 in 95% EtOH",1
"3 in 70% EtOH; 6 in 95% EtOH",1
"3 in 70% EtOH; 7 in 95% EtOH",1
"3 in C&S",1
"30 in 70% EtOH; 3 in C&S",1
"30 in 70% EtOH; 4 in C&S",1
"30 in 70% EtOH; 5 in C&S",1
"303 in 70% EtOH",1
"304 in 70% EtOH",1
"306 in 70% EtOH",1
"309 in 70% EtOH",1
"31 in 70% EtOH; 5 in C&S",1
"311 in 70% EtOH",1
"316 in 70% EtOH",1
"318 in 70% EtOH",1
"32 in 70% EtOH; 2 in C&S",1
"320 in 70% EtOH",1
"320 in 70% EtOH; 1 in C&S",1
"322 in 70% EtOH",1
"323 in 70% EtOH",1
"324 in 70% EtOH",1
"327 in 70% EtOH",1
"33 in 70% EtOH; 3 in C&S",1
"331 in 70% EtOH",1
"332 in 70% EtOH",1
"334 in 70% EtOH",1
"337 in 70% EtOH",1
"338 in 70% EtOH",1
"339 in 70% EtOH",1
"34 in 70% EtOH; 1 in C&S",1
"34 in 70% EtOH; 7 in 95% EtOH",1
"344 in 70% EtOH; 5 in C&S",1
"347 in 70% EtOH",1
