"ASIHCode","freq"
"USNM",407231
"UF",225524
"CAS",207444
"TU",203846
"UMMZ",197376
"LACM",175414
"MCZ",173495
"UWFC",150169
"ANSP",146742
"SIO",115846
"INHS",110741
"FMNH",108519
"OSM",100133
"UAIC",92766
"CU",90894
"NCSM",80110
"AUM",66980
"MMNS",63414
"TNHC",60109
"OKMNH",56403
"KU",51696
"TCWC",50176
"BPBM",39982
"JFBM",39904
"YPM",29759
"OS",19218
"LSUMZ",17672
"UAM",10031
"MSUM",8191
"ARK",5849
"UWZM",4601
"UCM",3547
"SBMNH",2006
"FSUCML",1015
"CSUC",408
"WNMU",379
"UTEP",98
"SUI",62
