USNM	28742
CAS	24691
ANSP	17215
MCZ	16872
FMNH	15466
UMMZ	11511
LACM	9262
UF	9027
SIO	6644
BPBM	5811
CU	5495
YPM	4575
KU	4482
AUM	4472
TU	4140
UWFC	3942
TCWC	3714
INHS	2938
OS	2756
UAIC	2392
NCSM	2349
LSUMZ	2316
TNHC	2020
JFBM	1801
OSM	1218
MMNS	788
UCM	777
UAM	602
SBMNH	475
MSUM	444
ARK	396
FSUCML	388
CSUC	194
UWZM	114
WNMU	59
SUI	28
UTEP	23
OKMNH	1
