"dwc.preparations","freq"
"EtOH - 24; C&S - 2",13
"EtOH - 5; C&S - 2",13
"EtOH - 13; C&S - 2",12
"EtOH - 15; C&S - 2",12
"EtOH - 17; C&S - 1",12
"EtOH - 19; C&S - 1",12
"EtOH - 202",12
"EtOH - 219",12
"EtOH - 222",12
"EtOH - 224",12
"EtOH - 237",12
"EtOH - 244",12
"EtOH - 260",12
"skeleton - 13",12
"EtOH - 13; C&S - 1",11
"EtOH - 16; C&S - 2",11
"EtOH - 185",11
"EtOH - 209",11
"EtOH - 215",11
"EtOH - 227",11
"EtOH - 229",11
"EtOH - 238",11
"EtOH - 253",11
"EtOH - 254",11
"EtOH - 257",11
"EtOH - 262",11
"EtOH - 264",11
"EtOH - 280",11
"EtOH - 3; skeleton - 2",11
"EtOH - 351",11
"EtOH - 11; C&S - 3",10
"EtOH - 14; C&S - 1",10
"EtOH - 14; C&S - 2",10
"EtOH - 15; C&S - 3",10
"EtOH - 16; C&S - 1",10
"EtOH - 190",10
"EtOH - 203",10
"EtOH - 218",10
"EtOH - 23; C&S - 2",10
"EtOH - 25; C&S - 2",10
"EtOH - 256",10
"EtOH - 379",10
"skeleton - 11",10
"EtOH - 14; skeleton - 1",9
"EtOH - 176",9
"EtOH - 196",9
"EtOH - 216",9
"EtOH - 221",9
"EtOH - 225",9
"EtOH - 232",9
"EtOH - 240",9
"EtOH - 245",9
"EtOH - 250",9
"EtOH - 251",9
"EtOH - 273",9
"EtOH - 28; C&S - 2",9
"EtOH - 284",9
"EtOH - 285",9
"EtOH - 312",9
"EtOH - 7; C&S - 3",9
"EtOH - 8; skeleton - 1",9
"skeleton - 15",9
"EtOH - 1; skeleton - 3",8
"EtOH - 12; skeleton - 1",8
"EtOH - 13; skeleton - 1",8
"EtOH - 14; C&S - 3",8
"EtOH - 15; C&S - 1",8
"EtOH - 17; C&S - 2",8
"EtOH - 19; C&S - 2",8
"EtOH - 197",8
"EtOH - 20; C&S - 1",8
"EtOH - 20; C&S - 2",8
"EtOH - 22; C&S - 2",8
"EtOH - 235",8
"EtOH - 236",8
"EtOH - 239",8
"EtOH - 252",8
"EtOH - 267",8
"EtOH - 277",8
"EtOH - 286",8
"EtOH - 289",8
"EtOH - 290",8
"EtOH - 294",8
"EtOH - 300",8
"EtOH - 307",8
"EtOH - 317",8
"EtOH - 319",8
"EtOH - 330",8
"EtOH - 346",8
"EtOH - 371",8
"EtOH - 39; C&S - 2",8
"EtOH - 4; skeleton - 2",8
"EtOH - 5; skeleton - 2",8
"EtOH - 1; C&S - 2",7
"EtOH - 1; skeleton - 4",7
"EtOH - 15; skeleton - 1",7
"EtOH - 16; C&S - 3",7
"EtOH - 16; C&S - 4",7
"EtOH - 17; C&S - 3",7
"EtOH - 18; C&S - 1",7
"EtOH - 21; C&S - 2",7
"EtOH - 23; C&S - 3",7
"EtOH - 233",7
"EtOH - 24; C&S - 1",7
"EtOH - 247",7
"EtOH - 248",7
"EtOH - 258",7
"EtOH - 26; C&S - 1",7
"EtOH - 263",7
"EtOH - 266",7
"EtOH - 269",7
"EtOH - 270",7
"EtOH - 278",7
"EtOH - 282",7
"EtOH - 288",7
"EtOH - 29; C&S - 2",7
"EtOH - 296",7
"EtOH - 297",7
"EtOH - 313",7
"EtOH - 316",7
"EtOH - 323",7
"EtOH - 328",7
"EtOH - 353",7
"EtOH - 360",7
"EtOH - 385",7
"EtOH - 414",7
"EtOH - 417",7
"EtOH - 5; C&S - 3",7
"skeleton - 19",7
"EtOH - 10; C&S - 3",6
"EtOH - 10; skeleton - 1",6
"EtOH - 11; skeleton - 1",6
"EtOH - 12; C&S - 3",6
"EtOH - 13; C&S - 3",6
"EtOH - 21; C&S - 1",6
"EtOH - 234",6
"EtOH - 249",6
"EtOH - 25; C&S - 3",6
"EtOH - 261",6
"EtOH - 274",6
"EtOH - 276",6
"EtOH - 28; C&S - 3",6
"EtOH - 291",6
"EtOH - 299",6
"EtOH - 303",6
"EtOH - 304",6
"EtOH - 308",6
"EtOH - 318",6
"EtOH - 32; C&S - 2",6
"EtOH - 33; C&S - 2",6
"EtOH - 333",6
"EtOH - 335",6
"EtOH - 34; C&S - 2",6
"EtOH - 342",6
"EtOH - 344",6
"EtOH - 348",6
"EtOH - 35; C&S - 1",6
"EtOH - 350",6
"EtOH - 38; C&S - 1",6
"EtOH - 441",6
"EtOH - 500",6
"EtOH - 55; C&S - 3",6
"EtOH - 6; C&S - 4",6
"EtOH - 6; skeleton - 2",6
"EtOH - 8; C&S - 3",6
"skeleton - 20",6
"C&S - 6",5
"C&S - 7",5
"C&S - 9",5
"EtOH - 19; C&S - 3",5
"EtOH - 22; skeleton - 1",5
"EtOH - 230",5
"EtOH - 259",5
"EtOH - 27; C&S - 4",5
"EtOH - 279",5
"EtOH - 287",5
"EtOH - 29; C&S - 1",5
"EtOH - 295",5
"EtOH - 30; C&S - 1",5
"EtOH - 301",5
"EtOH - 320",5
"EtOH - 321",5
"EtOH - 325",5
"EtOH - 33; C&S - 3",5
"EtOH - 332",5
"EtOH - 339",5
"EtOH - 34; C&S - 1",5
"EtOH - 341",5
"EtOH - 355",5
"EtOH - 356",5
"EtOH - 359",5
"EtOH - 36; C&S - 5",5
"EtOH - 362",5
"EtOH - 37; C&S - 2",5
"EtOH - 381",5
"EtOH - 389",5
"EtOH - 398",5
"EtOH - 4; C&S - 3",5
"EtOH - 40; C&S - 2",5
"EtOH - 402",5
"EtOH - 423",5
"EtOH - 425",5
"EtOH - 489",5
"EtOH - 9; skeleton - 1",5
"skeleton - 1; C&S - 1",5
"skeleton - 23",5
"skeleton - 25",5
"C&S - 1; skeleton - 1; EtOH - 4",4
"C&S - 10",4
"EtOH - 10; skeleton - 2",4
"EtOH - 11; C&S - 4",4
"EtOH - 11; skeleton - 4",4
"EtOH - 15; skeleton - 2",4
"EtOH - 16; skeleton - 1",4
"EtOH - 17; skeleton - 1",4
"EtOH - 17; skeleton - 2",4
"EtOH - 2; skeleton - 3",4
"EtOH - 21; C&S - 3",4
"EtOH - 21; C&S - 4",4
"EtOH - 21; C&S - 5",4
"EtOH - 22; C&S - 1",4
"EtOH - 22; C&S - 4",4
"EtOH - 223",4
"EtOH - 23; C&S - 1",4
"EtOH - 23; C&S - 4",4
"EtOH - 24; C&S - 6",4
"EtOH - 243",4
"EtOH - 25; C&S - 5",4
"EtOH - 26; C&S - 3",4
"EtOH - 26; skeleton - 1",4
"EtOH - 265",4
"EtOH - 27; C&S - 1",4
"EtOH - 27; C&S - 3",4
"EtOH - 271",4
"EtOH - 272",4
"EtOH - 275",4
"EtOH - 28; C&S - 5",4
"EtOH - 281",4
"EtOH - 283",4
"EtOH - 29; C&S - 5",4
"EtOH - 292",4
"EtOH - 293",4
"EtOH - 3; C&S - 3",4
"EtOH - 3; skeleton - 4",4
"EtOH - 306",4
"EtOH - 31; C&S - 1",4
"EtOH - 31; C&S - 2",4
"EtOH - 32; skeleton - 1",4
"EtOH - 326",4
"EtOH - 329",4
"EtOH - 33; C&S - 4",4
"EtOH - 33; skeleton - 1",4
"EtOH - 336",4
"EtOH - 337",4
"EtOH - 338",4
"EtOH - 34; C&S - 6",4
"EtOH - 343",4
"EtOH - 345",4
"EtOH - 349",4
"EtOH - 35; C&S - 3",4
"EtOH - 357",4
"EtOH - 363",4
"EtOH - 365",4
"EtOH - 369",4
"EtOH - 373",4
