"uuid","name"
"39de54ef-ecfe-4e9e-9f9c-d4b29f0a893f","fish collection, natural history museum, university of oslo"
"c4306d83-64da-4a45-bcb4-efd743caa2a3","algae, norwegian college of fishery science"
