"TypeStatus","Count"
"hypotype",2018
"paratype",314
"holotype",240
"topotype",17
"syntype",16
"allotype",3
"paralectotype",2
"type",2
"type?",2
"cotype",1
"lectotype",1
"plesiotype",1
