"Typestatus","Count"
"paratype of rivulus berovidesi",4
"paratype of squalus cubensis",4
"paratype of teleogramma depressum",4
"paratype of xenomystax congroides",4
"paratype? of triakis barbouri",4
"syntype of anostomus dissimilis",4
"syntype of bathypterois pectoralis",4
"syntype of callichthys adspersus",4
"syntype of chalcinus angulatus fuscus",4
"syntype of cnesterodon scalpridens",4
"syntype of cratinus agassizii",4
"syntype of cyclothone lusca",4
"syntype of etheostoma microperca| paralectotype of microperca punctulata",4
"syntype of gobio plumbeus",4
"syntype of heterandria formosa",4
"syntype of holocentrum matejuelo",4
"syntype of lychnopoles argenteolus",4
"syntype of malthopsis erinacea| paralectotype of malthopsis erinacea",4
"syntype of merluccius angustimanus",4
"syntype of mesoprion ojanco| syntype of mesoprion ojanco",4
"syntype of monomitopus torvus",4
"syntype of myctophum laternatum",4
"syntype of plecostomus johnii",4
"syntype of poecilichthys spectabilis| paralectotype of poecilichthys spectabilis",4
"syntype of porogadus longiceps",4
"syntype of pseudopimelodus acanthochirus",4
"syntype of pygidium immaculatum",4
"syntype of raia scabrata",4
"syntype of salmo agassizii",4
"syntype of scorpaena rascacio",4
"syntype of serranus bonaci| syntype of serranus bonaci",4
"syntype of trachichthys mento",4
"syntype of zygonectes dispar",4
"voucher of argyropelecus affinis",4
"voucher of argyropelecus gigas",4
"voucher of argyropelecus hemigymnus",4
"voucher of bolinichthys distofax",4
"voucher of bolinichthys longipes",4
"voucher of bonapartia pedaliota",4
"voucher of brotula barbata",4
"voucher of diaphus dumerilii",4
"voucher of gephyrocharax atricaudatus",4
"voucher of neoscopelus macrolepidotus",4
"voucher of ompok bimaculatus",4
"voucher of opostomias micripinus",4
"voucher of oxyurichthys lonchotus",4
"voucher of paracheirodon axelrodi",4
"voucher of paraliparis calidus",4
"voucher of photostomias guernei",4
"voucher of polyipnus laternatus",4
"voucher of pristigenys alta",4
"voucher of symphysanodon berryi",4
"additional material of brycon dulcis",3
"additional material of caristius groenlandicus",3
"additional material of nansenia oblita",3
"additional material of raja macrophthalma",3
"figured of chaenophryne longiceps",3
"figured of cryptacanthodes maculatus",3
"figured of diaphus effulgens",3
"figured of diaphus lobatus",3
"figured of galeorhinus laevis",3
"figured of gigantura chuni",3
"figured of lepophidium profundorum",3
"figured of liparis gibbus",3
"figured of malacosteus niger",3
"figured of myliobatis californica",3
"figured of ophidion marginatum",3
"figured of ophidion robinsi",3
"figured of parasudis truculenta",3
"figured of rypticus bicolor",3
"holotype of oligocephalus grahami",3
"neotype of scarus miniofrenatus",3
"paralectotype of curimatus dorsalis| syntype of curimatus dorsalis",3
"paralectotype of gasteropelecus fasciatus| syntype of gasteropelecus fasciatus",3
"paralectotype of labichthys bowersii",3
"paralectotype of plecostomus affinis| syntype of plecostomus affinis",3
"paralectotype of scopelengys dispar",3
"paralectotype of sternoptyx obscura",3
"paratype (ms) of trachinotus",3
"paratype (ms) of tyttocharax",3
"paratype of anacanthobatis americanus",3
"paratype of antigonia combatia",3
"paratype of astronesthes haplophos",3
"paratype of astronesthes lamellosus",3
"paratype of bathyclupea schroederi",3
"paratype of callionymus himantophorus",3
"paratype of ceratobranchia binghami",3
"paratype of chlorophthalmus brasiliensis",3
"paratype of chrysichthys helicophagus",3
"paratype of cichlasoma orientale",3
"paratype of curimatopsis crypticus",3
"paratype of dysichthys amazonicus",3
"paratype of epigonus pectinifer",3
"paratype of etmopterus virens",3
"paratype of eustomias hypopsilus",3
"paratype of evermannella megalops",3
"paratype of girella nebulosa",3
"paratype of gobiosoma (elacatinus) illecebrosum",3
"paratype of labeo henshawi",3
"paratype of lamprologus tigripictilis",3
"paratype of malacosteus australis",3
"paratype of mastacembelus crassus",3
"paratype of maurolicus weitzmani",3
"paratype of micromischodus sugillatus",3
"paratype of moenkhausia browni",3
"paratype of mormyrus cyaneus",3
"paratype of myripristis earlei",3
"paratype of nanochromis splendens",3
"paratype of notoglanidium pallidum| voucher of notoglanidium pallidum",3
"paratype of ogcocephalus declivirostris",3
"paratype of ogcocephalus pumilus",3
"paratype of paracetopsis esmeraldas",3
"paratype of parmaturus manis| voucher of apristurus manis",3
"paratype of perissodus eccentricus",3
"paratype of platyurosternarchus crypticus",3
"paratype of poptella brevispina",3
"paratype of raja bahamensis",3
"paratype of raja floridana| voucher of dipturus teevani",3
"paratype of rhizoprionodon (protozygaena) oligolinx",3
"paratype of sardinella marquesensis",3
"paratype of scopelosaurus craddocki",3
"paratype of stemonosudis siliquiventer",3
"paratype of symphurus billykrietei",3
"paratype of trimma squamicana",3
"paratype of trimma taylori",3
"paratype? of florenciella lugubris",3
"syntype of acanthocottus sellaris",3
"syntype of aelurichthys pinnimaculatus",3
"syntype of alburnus rubellus",3
"syntype of arius fuerthii",3
"syntype of astyanax gracilior",3
"syntype of cataetyx simus",3
