"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"dry skeleton","uwfc","skeleton collection","uw 118129","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118105","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118375","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118331","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118418","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118317","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118346","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118324","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118390","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118438","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118125","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118287","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118170","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118272","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118401","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118222","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118315","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118437","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118214","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118408","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118325","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118386","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118359","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118244","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118194","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118130","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118210","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118371","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118109","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118243","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118124","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118155","Skeleton","","",NA,NA,NA,1
"dry skeleton","uwfc","skeleton collection","uw 118227","Skeleton","","",NA,NA,NA,1
