"preps","institutioncode","collectioncode","catalognumber","Stand.Prep","Stand.Prep.2","Stand.Prep.3","Tissue","Photo","X","freq"
"70% ETHANOL","uwfc","adult collection","uw 008164","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 011621","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 019425","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 006558","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 002698","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 028396","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 013551","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 008453","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 018611","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 012127","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 017308","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 000389","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 008385","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004781","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 006096","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 008461","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 004150","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 025987","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 009010","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 019711","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 029572","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 003149","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 021995","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 040774","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 025474","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 021164","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 009528","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 001939","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 013357","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010052","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 015999","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 005164","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 020466","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 016631","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 015927","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 017231","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 009909","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 010989","EtOH","","",NA,NA,NA,86
"70% ETHANOL","uwfc","adult collection","uw 018042","EtOH","","",NA,NA,NA,86
