"Typestatus","Count"
"",199593
"paratype",5594
"holotype",1430
"syntype",372
"paralectotype",288
"lectotype",68
"type",31
"neotype",30
"holotype & paratype",21
"paratype?",8
"lectotype & paralectotype",4
"holotype?",3
"isotype",1
"syntype?",1
