"Waterbody","Count"
"caribbean sea",4972
"north pacific ocean",2976
"indian ocean",1606
"maritime southeast asia",1516
"pacific ocean",1417
"south pacific ocean",863
"north atlantic ocean",522
"south atlantic ocean",434
"milne bay",412
"south china sea",138
