"dwc.preparations","freq"
"6 alc; 0 sk; 2 c&s",13
"9 alc; 0 sk; 1 c&s",13
"114 alc; 0 sk; 0 c&s",12
"126 alc; 0 sk; 0 c&s",12
"130 alc; 0 sk; 0 c&s",12
"140 alc; 0 sk; 0 c&s",12
"146 alc; 0 sk; 0 c&s",12
"160 alc; 0 sk; 0 c&s",12
"162 alc; 0 sk; 0 c&s",12
"250 alc; 0 sk; 0 c&s",12
"8 alc; 0 sk; 1 c&s",12
"8 alc; 0 sk; 2 c&s",12
"107 alc; 0 sk; 0 c&s",11
"109 alc; 0 sk; 0 c&s",11
"118 alc; 0 sk; 0 c&s",11
"127 alc; 0 sk; 0 c&s",11
"142 alc; 0 sk; 0 c&s",11
"153 alc; 0 sk; 0 c&s",11
"159 alc; 0 sk; 0 c&s",11
"3 alc; 1 sk; 0 c&s",11
"139 alc; 0 sk; 0 c&s",10
"148 alc; 0 sk; 0 c&s",10
"156 alc; 0 sk; 0 c&s",10
"173 alc; 0 sk; 0 c&s",10
"180 alc; 0 sk; 0 c&s",10
"195 alc; 0 sk; 0 c&s",10
"209 alc; 0 sk; 0 c&s",10
"0 alc; 4 sk; 0 c&s",9
"137 alc; 0 sk; 0 c&s",9
"138 alc; 0 sk; 0 c&s",9
"141 alc; 0 sk; 0 c&s",9
"144 alc; 0 sk; 0 c&s",9
"149 alc; 0 sk; 0 c&s",9
"152 alc; 0 sk; 0 c&s",9
"154 alc; 0 sk; 0 c&s",9
"166 alc; 0 sk; 0 c&s",9
"5 alc; 0 sk; 2 c&s",9
"10 alc; 0 sk; 2 c&s",8
"124 alc; 0 sk; 0 c&s",8
"13 alc; 0 sk; 2 c&s",8
"134 alc; 0 sk; 0 c&s",8
"155 alc; 0 sk; 0 c&s",8
"158 alc; 0 sk; 0 c&s",8
"163 alc; 0 sk; 0 c&s",8
"164 alc; 0 sk; 0 c&s",8
"167 alc; 0 sk; 0 c&s",8
"175 alc; 0 sk; 0 c&s",8
"189 alc; 0 sk; 0 c&s",8
"193 alc; 0 sk; 0 c&s",8
"196 alc; 0 sk; 0 c&s",8
"0 alc; 0 sk; 6 c&s",7
"1 alc; 0 sk; 2 c&s",7
"11 alc; 0 sk; 1 c&s",7
"122 alc; 0 sk; 0 c&s",7
"125 alc; 0 sk; 0 c&s",7
"169 alc; 0 sk; 0 c&s",7
"170 alc; 0 sk; 0 c&s",7
"176 alc; 0 sk; 0 c&s",7
"178 alc; 0 sk; 0 c&s",7
"182 alc; 0 sk; 0 c&s",7
"184 alc; 0 sk; 0 c&s",7
"19 alc; 0 sk; 1 c&s",7
"194 alc; 0 sk; 0 c&s",7
"500 alc; 0 sk; 0 c&s",7
"12 alc; 0 sk; 1 c&s",6
"14 alc; 0 sk; 2 c&s",6
"15 alc; 0 sk; 2 c&s",6
"161 alc; 0 sk; 0 c&s",6
"17 alc; 0 sk; 2 c&s",6
"172 alc; 0 sk; 0 c&s",6
"185 alc; 0 sk; 0 c&s",6
"190 alc; 0 sk; 0 c&s",6
"197 alc; 0 sk; 0 c&s",6
"198 alc; 0 sk; 0 c&s",6
"199 alc; 0 sk; 0 c&s",6
"2 alc; 2 sk; 0 c&s",6
"20 alc; 0 sk; 2 c&s",6
"214 alc; 0 sk; 0 c&s",6
"227 alc; 0 sk; 0 c&s",6
"237 alc; 0 sk; 0 c&s",6
"257 alc; 0 sk; 0 c&s",6
"264 alc; 0 sk; 0 c&s",6
"330 alc; 0 sk; 0 c&s",6
"4 alc; 0 sk; 3 c&s",6
"4 alc; 1 sk; 0 c&s",6
"5 alc; 1 sk; 0 c&s",6
"7 alc; 0 sk; 2 c&s",6
"0 alc; 0 sk; 10 c&s",5
"0 alc; 5 sk; 0 c&s",5
"12 alc; 0 sk; 2 c&s",5
"123 alc; 0 sk; 0 c&s",5
"13 alc; 0 sk; 1 c&s",5
"147 alc; 0 sk; 0 c&s",5
"16 alc; 0 sk; 1 c&s",5
"165 alc; 0 sk; 0 c&s",5
"17 alc; 0 sk; 1 c&s",5
"171 alc; 0 sk; 0 c&s",5
"183 alc; 0 sk; 0 c&s",5
"191 alc; 0 sk; 0 c&s",5
"2 alc; 0 sk; 3 c&s",5
"206 alc; 0 sk; 0 c&s",5
"207 alc; 0 sk; 0 c&s",5
"208 alc; 0 sk; 0 c&s",5
"21 alc; 0 sk; 2 c&s",5
"212 alc; 0 sk; 0 c&s",5
"229 alc; 0 sk; 0 c&s",5
"243 alc; 0 sk; 0 c&s",5
"290 alc; 0 sk; 0 c&s",5
"298 alc; 0 sk; 0 c&s",5
"3 alc; 2 sk; 0 c&s",5
"5 alc; 0 sk; 3 c&s",5
"6 alc; 0 sk; 3 c&s",5
"7 alc; 0 sk; 3 c&s",5
"9 alc; 0 sk; 3 c&s",5
"0 alc; 0 sk; 7 c&s",4
"10 alc; 0 sk; 1 c&s",4
"10 alc; 0 sk; 4 c&s",4
"143 alc; 0 sk; 0 c&s",4
"15 alc; 0 sk; 1 c&s",4
"157 alc; 0 sk; 0 c&s",4
"168 alc; 0 sk; 0 c&s",4
"18 alc; 0 sk; 2 c&s",4
"181 alc; 0 sk; 0 c&s",4
"186 alc; 0 sk; 0 c&s",4
"188 alc; 0 sk; 0 c&s",4
"192 alc; 0 sk; 0 c&s",4
"2 alc; 4 sk; 0 c&s",4
"201 alc; 0 sk; 0 c&s",4
"204 alc; 0 sk; 0 c&s",4
"215 alc; 0 sk; 0 c&s",4
"219 alc; 0 sk; 0 c&s",4
"221 alc; 0 sk; 0 c&s",4
"224 alc; 0 sk; 0 c&s",4
"234 alc; 0 sk; 0 c&s",4
"238 alc; 0 sk; 0 c&s",4
"245 alc; 0 sk; 0 c&s",4
"248 alc; 0 sk; 0 c&s",4
"25 alc; 0 sk; 2 c&s",4
"251 alc; 0 sk; 0 c&s",4
"252 alc; 0 sk; 0 c&s",4
"268 alc; 0 sk; 0 c&s",4
"27 alc; 0 sk; 3 c&s",4
"281 alc; 0 sk; 0 c&s",4
"288 alc; 0 sk; 0 c&s",4
"309 alc; 0 sk; 0 c&s",4
"314 alc; 0 sk; 0 c&s",4
"319 alc; 0 sk; 0 c&s",4
"337 alc; 0 sk; 0 c&s",4
"340 alc; 0 sk; 0 c&s",4
"350 alc; 0 sk; 0 c&s",4
"433 alc; 0 sk; 0 c&s",4
"8 alc; 0 sk; 3 c&s",4
"0 alc; 0 sk; 8 c&s",3
"0 alc; 6 sk; 0 c&s",3
"0 alc; 7 sk; 0 c&s",3
"10 alc; 0 sk; 3 c&s",3
"10 alc; 1 sk; 0 c&s",3
"11 alc; 0 sk; 2 c&s",3
"11 alc; 0 sk; 4 c&s",3
"12 alc; 0 sk; 3 c&s",3
"13 alc; 0 sk; 3 c&s",3
"15 alc; 0 sk; 4 c&s",3
"16 alc; 0 sk; 2 c&s",3
"174 alc; 0 sk; 0 c&s",3
"179 alc; 0 sk; 0 c&s",3
"18 alc; 0 sk; 3 c&s",3
"20 alc; 0 sk; 1 c&s",3
"202 alc; 0 sk; 0 c&s",3
"203 alc; 0 sk; 0 c&s",3
"205 alc; 0 sk; 0 c&s",3
"21 alc; 0 sk; 1 c&s",3
"21 alc; 0 sk; 4 c&s",3
"217 alc; 0 sk; 0 c&s",3
"22 alc; 0 sk; 1 c&s",3
"226 alc; 0 sk; 0 c&s",3
"228 alc; 0 sk; 0 c&s",3
"230 alc; 0 sk; 0 c&s",3
"236 alc; 0 sk; 0 c&s",3
"24 alc; 0 sk; 3 c&s",3
"244 alc; 0 sk; 0 c&s",3
"246 alc; 0 sk; 0 c&s",3
"256 alc; 0 sk; 0 c&s",3
"26 alc; 0 sk; 2 c&s",3
"271 alc; 0 sk; 0 c&s",3
"276 alc; 0 sk; 0 c&s",3
"283 alc; 0 sk; 0 c&s",3
"29 alc; 0 sk; 1 c&s",3
"3 alc; 0 sk; 3 c&s",3
"301 alc; 0 sk; 0 c&s",3
"310 alc; 0 sk; 0 c&s",3
"318 alc; 0 sk; 0 c&s",3
"320 alc; 0 sk; 0 c&s",3
"33 alc; 0 sk; 1 c&s",3
"345 alc; 0 sk; 0 c&s",3
"351 alc; 0 sk; 0 c&s",3
"355 alc; 0 sk; 0 c&s",3
"366 alc; 0 sk; 0 c&s",3
"375 alc; 0 sk; 0 c&s",3
"377 alc; 0 sk; 0 c&s",3
"395 alc; 0 sk; 0 c&s",3
"404 alc; 0 sk; 0 c&s",3
"418 alc; 0 sk; 0 c&s",3
"424 alc; 0 sk; 0 c&s",3
"436 alc; 0 sk; 0 c&s",3
"455 alc; 0 sk; 0 c&s",3
"559 alc; 0 sk; 0 c&s",3
"600 alc; 0 sk; 0 c&s",3
"645 alc; 0 sk; 0 c&s",3
"7 alc; 0 sk; 4 c&s",3
"7 alc; 1 sk; 0 c&s",3
"719 alc; 0 sk; 0 c&s",3
"9 alc; 0 sk; 2 c&s",3
"9 alc; 1 sk; 0 c&s",3
"0 alc; 0 sk; 12 c&s",2
"0 alc; 0 sk; 15 c&s",2
"0 alc; 99 sk; 0 c&s",2
"1 alc; 2 sk; 0 c&s",2
"1000 alc; 0 sk; 0 c&s",2
"102 alc; 0 sk; 3 c&s",2
"1067 alc; 0 sk; 0 c&s",2
"1260 alc; 0 sk; 0 c&s",2
"15 alc; 0 sk; 5 c&s",2
"18 alc; 0 sk; 1 c&s",2
"187 alc; 0 sk; 0 c&s",2
"19 alc; 0 sk; 2 c&s",2
"19 alc; 0 sk; 5 c&s",2
"21 alc; 0 sk; 3 c&s",2
"210 alc; 0 sk; 0 c&s",2
"213 alc; 0 sk; 0 c&s",2
"218 alc; 0 sk; 0 c&s",2
"222 alc; 0 sk; 0 c&s",2
"23 alc; 0 sk; 1 c&s",2
"23 alc; 0 sk; 5 c&s",2
"231 alc; 0 sk; 0 c&s",2
"232 alc; 0 sk; 0 c&s",2
"233 alc; 0 sk; 0 c&s",2
"239 alc; 0 sk; 0 c&s",2
"24 alc; 0 sk; 1 c&s",2
"240 alc; 0 sk; 0 c&s",2
"241 alc; 0 sk; 0 c&s",2
"242 alc; 0 sk; 0 c&s",2
"247 alc; 0 sk; 0 c&s",2
"25 alc; 0 sk; 4 c&s",2
"255 alc; 0 sk; 0 c&s",2
"258 alc; 0 sk; 0 c&s",2
"261 alc; 0 sk; 0 c&s",2
"269 alc; 0 sk; 0 c&s",2
"27 alc; 0 sk; 2 c&s",2
"273 alc; 0 sk; 0 c&s",2
"277 alc; 0 sk; 0 c&s",2
"279 alc; 0 sk; 0 c&s",2
"284 alc; 0 sk; 0 c&s",2
"286 alc; 0 sk; 0 c&s",2
"29 alc; 0 sk; 2 c&s",2
"291 alc; 0 sk; 0 c&s",2
"295 alc; 0 sk; 0 c&s",2
"297 alc; 0 sk; 0 c&s",2
"3 alc; 3 sk; 0 c&s",2
"30 alc; 0 sk; 2 c&s",2
"30 alc; 0 sk; 4 c&s",2
"308 alc; 0 sk; 0 c&s",2
"31 alc; 0 sk; 3 c&s",2
"321 alc; 0 sk; 0 c&s",2
"322 alc; 0 sk; 0 c&s",2
"323 alc; 0 sk; 0 c&s",2
