"dwc.preparations","freq"
"275 alc; 0 sk; 4 c&s",1
"2779 alc; 0 sk; 0 c&s",1
"278 alc; 0 sk; 0 c&s",1
"2798 alc; 0 sk; 0 c&s",1
"28 alc; 0 sk; 2 c&s",1
"28 alc; 0 sk; 4 c&s",1
"282 alc; 0 sk; 0 c&s",1
"285 alc; 0 sk; 0 c&s",1
"287 alc; 0 sk; 0 c&s",1
"289 alc; 0 sk; 0 c&s",1
"2910 alc; 0 sk; 0 c&s",1
"2923 alc; 0 sk; 0 c&s",1
"2933 alc; 0 sk; 0 c&s",1
"294 alc; 0 sk; 0 c&s",1
"296 alc; 0 sk; 0 c&s",1
"299 alc; 0 sk; 0 c&s",1
"3 alc; 5 sk; 0 c&s",1
"3 alc; 7 sk; 0 c&s",1
"30 alc; 0 sk; 1 c&s",1
"30 alc; 0 sk; 3 c&s",1
"30 alc; 0 sk; 5 c&s",1
"302 alc; 0 sk; 0 c&s",1
"304 alc; 0 sk; 0 c&s",1
"305 alc; 0 sk; 0 c&s",1
"3053 alc; 0 sk; 0 c&s",1
"306 alc; 0 sk; 0 c&s",1
"31 alc; 0 sk; 2 c&s",1
"313 alc; 0 sk; 0 c&s",1
"316 alc; 0 sk; 0 c&s",1
"317 alc; 0 sk; 0 c&s",1
"319 alc; 0 sk; 4 c&s",1
"32 alc; 0 sk; 2 c&s",1
"32 alc; 0 sk; 3 c&s",1
"32 alc; 0 sk; 7 c&s",1
"32 alc; 1 sk; 0 c&s",1
"3211 alc; 0 sk; 0 c&s",1
"3248 alc; 0 sk; 0 c&s",1
"326 alc; 0 sk; 0 c&s",1
"327 alc; 0 sk; 0 c&s",1
"329 alc; 0 sk; 0 c&s",1
"33 alc; 0 sk; 5 c&s",1
"33 alc; 2 sk; 0 c&s",1
"332 alc; 0 sk; 0 c&s",1
"333 alc; 0 sk; 0 c&s",1
"335 alc; 0 sk; 0 c&s",1
"336 alc; 0 sk; 0 c&s",1
"339 alc; 0 sk; 0 c&s",1
"34 alc; 0 sk; 5 c&s",1
"341 alc; 0 sk; 0 c&s",1
"342 alc; 0 sk; 0 c&s",1
"348 alc; 0 sk; 0 c&s",1
"35 alc; 0 sk; 1 c&s",1
"35 alc; 0 sk; 3 c&s",1
"350 alc; 0 sk; 5 c&s",1
"358 alc; 0 sk; 0 c&s",1
"359 alc; 0 sk; 0 c&s",1
"36 alc; 0 sk; 1 c&s",1
"36 alc; 0 sk; 3 c&s",1
"36 alc; 1 sk; 0 c&s",1
"361 alc; 0 sk; 0 c&s",1
"362 alc; 0 sk; 3 c&s",1
"367 alc; 0 sk; 0 c&s",1
"37 alc; 0 sk; 2 c&s",1
"37 alc; 0 sk; 3 c&s",1
"37 alc; 0 sk; 4 c&s",1
"374 alc; 0 sk; 0 c&s",1
"376 alc; 0 sk; 0 c&s",1
"378 alc; 0 sk; 0 c&s",1
"38 alc; 0 sk; 1 c&s",1
"38 alc; 0 sk; 5 c&s",1
"38 alc; 1 sk; 0 c&s",1
"381 alc; 0 sk; 0 c&s",1
"384 alc; 0 sk; 0 c&s",1
"386 alc; 0 sk; 0 c&s",1
"387 alc; 0 sk; 0 c&s",1
"388 alc; 0 sk; 0 c&s",1
"389 alc; 0 sk; 0 c&s",1
"39 alc; 0 sk; 1 c&s",1
"39 alc; 0 sk; 3 c&s",1
"394 alc; 0 sk; 0 c&s",1
"397 alc; 0 sk; 0 c&s",1
"399 alc; 0 sk; 9 c&s",1
"4 alc; 5 sk; 0 c&s",1
"4 alc; 7 sk; 0 c&s",1
"40 alc; 0 sk; 4 c&s",1
"40 alc; 0 sk; 5 c&s",1
"405 alc; 0 sk; 0 c&s",1
"407 alc; 0 sk; 5 c&s",1
"408 alc; 0 sk; 0 c&s",1
"41 alc; 0 sk; 10 c&s",1
"410 alc; 0 sk; 0 c&s",1
"411 alc; 0 sk; 0 c&s",1
"417 alc; 0 sk; 0 c&s",1
"421 alc; 0 sk; 0 c&s",1
"423 alc; 0 sk; 0 c&s",1
"4277 alc; 0 sk; 0 c&s",1
"429 alc; 0 sk; 0 c&s",1
"437 alc; 0 sk; 0 c&s",1
"44 alc; 0 sk; 1 c&s",1
"44 alc; 0 sk; 3 c&s",1
"44 alc; 0 sk; 4 c&s",1
"445 alc; 0 sk; 0 c&s",1
"446 alc; 0 sk; 3 c&s",1
"448 alc; 0 sk; 0 c&s",1
"45 alc; 0 sk; 3 c&s",1
"45 alc; 0 sk; 5 c&s",1
"450 alc; 0 sk; 0 c&s",1
"458 alc; 0 sk; 0 c&s",1
"459 alc; 0 sk; 0 c&s",1
"46 alc; 0 sk; 1 c&s",1
"46 alc; 0 sk; 4 c&s",1
"462 alc; 0 sk; 0 c&s",1
"4684 alc; 0 sk; 0 c&s",1
"4685 alc; 0 sk; 0 c&s",1
"469 alc; 0 sk; 0 c&s",1
"47 alc; 0 sk; 1 c&s",1
"47 alc; 0 sk; 15 c&s",1
"471 alc; 0 sk; 0 c&s",1
"472 alc; 0 sk; 0 c&s",1
"474 alc; 0 sk; 0 c&s",1
"479 alc; 0 sk; 0 c&s",1
"48 alc; 0 sk; 6 c&s",1
"484 alc; 0 sk; 0 c&s",1
"4841 alc; 0 sk; 0 c&s",1
"485 alc; 0 sk; 0 c&s",1
"4850 alc; 0 sk; 0 c&s",1
"489 alc; 0 sk; 0 c&s",1
"49 alc; 0 sk; 2 c&s",1
"49 alc; 0 sk; 3 c&s",1
"490 alc; 0 sk; 0 c&s",1
"493 alc; 0 sk; 0 c&s",1
"496 alc; 0 sk; 0 c&s",1
"499 alc; 0 sk; 0 c&s",1
"5 alc; 0 sk; 4 c&s",1
"5 alc; 2 sk; 0 c&s",1
"5 alc; 5 sk; 0 c&s",1
"50 alc; 0 sk; 4 c&s",1
"502 alc; 0 sk; 0 c&s",1
"503 alc; 0 sk; 0 c&s",1
"503 alc; 0 sk; 5 c&s",1
"508 alc; 0 sk; 0 c&s",1
"509 alc; 0 sk; 0 c&s",1
"51 alc; 1 sk; 1 c&s",1
"511 alc; 0 sk; 0 c&s",1
"513 alc; 0 sk; 0 c&s",1
"514 alc; 0 sk; 0 c&s",1
"515 alc; 0 sk; 0 c&s",1
"516 alc; 0 sk; 0 c&s",1
"518 alc; 0 sk; 0 c&s",1
"52 alc; 0 sk; 5 c&s",1
"521 alc; 0 sk; 0 c&s",1
"522 alc; 0 sk; 0 c&s",1
"523 alc; 0 sk; 0 c&s",1
"524 alc; 0 sk; 0 c&s",1
"529 alc; 0 sk; 0 c&s",1
"53 alc; 0 sk; 3 c&s",1
"530 alc; 0 sk; 0 c&s",1
"532 alc; 0 sk; 0 c&s",1
"533 alc; 0 sk; 0 c&s",1
"535 alc; 0 sk; 0 c&s",1
"536 alc; 0 sk; 0 c&s",1
"537 alc; 0 sk; 0 c&s",1
"539 alc; 0 sk; 0 c&s",1
"548 alc; 0 sk; 0 c&s",1
"550 alc; 0 sk; 0 c&s",1
"554 alc; 0 sk; 0 c&s",1
"56 alc; 0 sk; 2 c&s",1
"575 alc; 0 sk; 0 c&s",1
"582 alc; 0 sk; 0 c&s",1
"586 alc; 0 sk; 0 c&s",1
"595 alc; 0 sk; 0 c&s",1
"596 alc; 0 sk; 0 c&s",1
"6 alc; 0 sk; 5 c&s",1
"6 alc; 3 sk; 0 c&s",1
"60 alc; 0 sk; 4 c&s",1
"60 alc; 0 sk; 6 c&s",1
"601 alc; 0 sk; 0 c&s",1
"602 alc; 0 sk; 0 c&s",1
"603 alc; 0 sk; 0 c&s",1
"604 alc; 0 sk; 0 c&s",1
"612 alc; 0 sk; 0 c&s",1
"6122 alc; 0 sk; 0 c&s",1
"614 alc; 0 sk; 0 c&s",1
"6156 alc; 0 sk; 0 c&s",1
"625 alc; 0 sk; 0 c&s",1
"6288 alc; 0 sk; 0 c&s",1
"63 alc; 0 sk; 1 c&s",1
"630 alc; 0 sk; 0 c&s",1
"639 alc; 0 sk; 0 c&s",1
"64 alc; 0 sk; 3 c&s",1
"64 alc; 1 sk; 2 c&s",1
"646 alc; 0 sk; 0 c&s",1
"647 alc; 0 sk; 0 c&s",1
"65 alc; 0 sk; 1 c&s",1
"651 alc; 0 sk; 0 c&s",1
"656 alc; 0 sk; 0 c&s",1
"661 alc; 0 sk; 0 c&s",1
"662 alc; 0 sk; 0 c&s",1
"669 alc; 0 sk; 0 c&s",1
"675 alc; 0 sk; 0 c&s",1
"68 alc; 0 sk; 1 c&s",1
"680 alc; 0 sk; 0 c&s",1
"685 alc; 0 sk; 0 c&s",1
"687 alc; 0 sk; 0 c&s",1
"69 alc; 0 sk; 3 c&s",1
"69 alc; 0 sk; 57 c&s",1
"690 alc; 0 sk; 0 c&s",1
"7 alc; 2 sk; 0 c&s",1
"70 alc; 0 sk; 1 c&s",1
"70 alc; 0 sk; 2 c&s",1
"70 alc; 0 sk; 6 c&s",1
"700 alc; 0 sk; 0 c&s",1
"704 alc; 0 sk; 5 c&s",1
"705 alc; 0 sk; 0 c&s",1
"713 alc; 0 sk; 0 c&s",1
"720 alc; 0 sk; 0 c&s",1
"724 alc; 0 sk; 0 c&s",1
"730 alc; 0 sk; 0 c&s",1
"737 alc; 0 sk; 0 c&s",1
"743 alc; 0 sk; 0 c&s",1
"745 alc; 0 sk; 0 c&s",1
"748 alc; 0 sk; 0 c&s",1
"758 alc; 0 sk; 0 c&s",1
"764 alc; 0 sk; 0 c&s",1
"7712 alc; 0 sk; 0 c&s",1
"777 alc; 0 sk; 0 c&s",1
"78 alc; 0 sk; 2 c&s",1
"781 alc; 0 sk; 0 c&s",1
"782 alc; 0 sk; 0 c&s",1
"783 alc; 0 sk; 0 c&s",1
"785 alc; 0 sk; 0 c&s",1
"79 alc; 0 sk; 1 c&s",1
"79 alc; 0 sk; 5 c&s",1
"790 alc; 0 sk; 0 c&s",1
"792 alc; 0 sk; 0 c&s",1
"8 alc; 3 sk; 0 c&s",1
"801 alc; 0 sk; 0 c&s",1
"81 alc; 0 sk; 2 c&s",1
"810 alc; 0 sk; 0 c&s",1
"812 alc; 0 sk; 0 c&s",1
"823 alc; 0 sk; 0 c&s",1
"835 alc; 0 sk; 0 c&s",1
"84 alc; 0 sk; 1 c&s",1
"84 alc; 0 sk; 5 c&s",1
"85 alc; 0 sk; 1 c&s",1
"852 alc; 0 sk; 0 c&s",1
"859 alc; 0 sk; 0 c&s",1
"868 alc; 0 sk; 0 c&s",1
"87 alc; 0 sk; 3 c&s",1
"884 alc; 0 sk; 0 c&s",1
"887 alc; 0 sk; 0 c&s",1
"893 alc; 0 sk; 0 c&s",1
"897 alc; 0 sk; 0 c&s",1
"9 alc; 0 sk; 5 c&s",1
"9 alc; 2 sk; 0 c&s",1
"90 alc; 0 sk; 3 c&s",1
"900 alc; 0 sk; 0 c&s",1
"9000 alc; 0 sk; 0 c&s",1
"906 alc; 0 sk; 0 c&s",1
"909 alc; 0 sk; 0 c&s",1
"911 alc; 0 sk; 0 c&s",1
"914 alc; 0 sk; 0 c&s",1
"918 alc; 0 sk; 0 c&s",1
"920 alc; 0 sk; 0 c&s",1
"931 alc; 0 sk; 0 c&s",1
"937 alc; 0 sk; 0 c&s",1
"94 alc; 0 sk; 2 c&s",1
"95 alc; 0 sk; 5 c&s",1
"953 alc; 0 sk; 0 c&s",1
"956 alc; 0 sk; 0 c&s",1
"96 alc; 0 sk; 1 c&s",1
"962 alc; 0 sk; 0 c&s",1
"973 alc; 0 sk; 0 c&s",1
"978 alc; 0 sk; 0 c&s",1
"994 alc; 0 sk; 0 c&s",1
"alc; 0 sk; 0 c&s",1
