"dwc.preparations","freq"
"tissue (DMSO/EDTA); whole organism (isopropanol); tissue (DMSO/EDTA); tissue (DMSO/EDTA)",3
"whole organism (alcohol)",3
"whole organism (dry)",3
"whole organism (ethanol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",3
"whole organism (ethanol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",3
"whole organism (formalin-fixed, 70% ethanol)",3
"whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample",3
"whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample",3
"whole organism (formalin-fixed); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",3
"whole organism (formalin-fixed); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",3
"fin (alcohol); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); whole organism (isopropanol)",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol) sample; fin (alcohol) sample; fin (alcohol) sample",2
"fin (alcohol); fin (alcohol); fin (alcohol); whole organism (isopropanol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); fin (alcohol); whole organism (ethanol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); whole organism (alcohol)",2
"fin (alcohol); whole organism (ethanol); fin (alcohol); fin (alcohol)",2
"fin (alcohol); whole organism (formalin-fixed); fin (alcohol); fin (alcohol); fin (alcohol); fin (alcohol)",2
"heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen); heart, muscle (frozen)",2
"liver (frozen); liver (frozen); liver (frozen); liver (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); liver (frozen)",2
"liver (frozen); muscle (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); liver (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); liver (frozen)",2
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",2
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",2
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",2
"muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); whole organism (formalin-fixed); muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol)",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",2
"tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",2
