"Continent","Count"
"usa",99778
"can",156
"mex",59
"gtm",37
"hnd",18
"blz",13
"pol",12
"ken",6
"uga",4
"jpn",2
"aus",1
"bhs",1
"bra",1
"deu",1
"esp",1
"pan",1
"pry",1
