"Typestatus","Count"
"",97613
"voucher",1462
"dna voucher",975
"paratype",54
"voucher (etheostoma simoterum)",10
"voucher (etheostoma zonale)",7
"paratopotype",4
"topotype",1
"voucher (cottus bairdi)",1
"voucher (cottus bairdii bairdii)",1
"voucher (etheostoma spectabile)",1
"voucher (lepomis megalotis)",1
"voucher (moxostoma macrolepidotum)",1
"voucher (notropis cummingsae)",1
"voucher (scomber japonicus)",1
