"Collector","Count"
"woodcock",37
"geological",36
"halliman",36
"r.e",36
"c.h",35
"e.m",35
"emry",35
"jones",35
"m.a",35
"primmer",35
"rivers",34
"south",34
"standard",34
"waite",34
"arizona",33
"basal",33
"m.r",33
"nickerson",33
"c.c",32
"elzea",32
"p.t",32
"whitfield",32
"acad",31
"alaska",31
"sdsu",31
"thiessen",31
"umcp",31
"a.k",30
"bacskai",30
"commercial",30
"cummins",30
"f.v",30
"g.d",30
"matti",30
"mcenroe",30
"sahni",30
"theodor",30
"cal",29
"hayden",29
"j.b",29
"j.g",29
"parrish",29
"pitt",29
"bowers",28
"dawson",28
"dearborn",28
"eaton",28
"jack",28
"n.h",28
"w.d",28
"bohlin",27
"hutchcraft",27
"m.k",27
"r.l",27
"univ.of",27
"d.w",26
"fisher",26
"golz",26
"hatcher",26
"k.c",26
"minnesota",26
"ruben",26
"collection",25
"craig",25
"i",25
"mason",25
"parham",25
"rachl",25
"s.j",25
"schultz",25
"selb",25
"chamberlin",24
"clinnick",24
"g.j",24
"holmes",24
"jhu",24
"luo",24
"lyon",24
"mwv",24
"niemi",24
"or",24
"sherrod",24
"u.sydney",24
"w.p.a.party",24
"wood",24
"babcock",23
"c.d",23
"ciochon",23
"expedition",23
"friedman",23
"j.m.d",23
"kirby",23
"nesbitt",23
"p.d",23
"texas",23
"trost",23
"w.b",23
"zoo",23
"australian",22
"b.p",22
"curry",22
"curtis",22
"deraniyagala",22
"h.d",22
"hilton",22
"j.n",22
"k.b",22
"kilmer",22
"kincade",22
"lance",22
"longstrom",22
"polly",22
"v",22
"voy",22
"apr",21
"broom",21
"duff",21
"s.m",21
"warheit",21
"woodard",21
"yale",21
"axelrod",20
"ball",20
"bones",20
"cit",20
"e.j",20
"harbour",20
"johnson",20
"kew",20
"may",20
"rigby",20
"san",20
"t.j",20
"ucb",20
"w.f",20
"w.l",20
"wolberg",20
"baldwin",19
"exped",19
"gray",19
"hill",19
"howard",19
"klippel",19
"madsen",19
"mark",19
"p.w",19
"padian",19
"russel",19
"sedon",19
"w.e",19
"z",19
"ziegler",19
"fladeland",18
"g.g",18
"gottfried",18
"greer",18
"irmis",18
"maxon",18
"p.v",18
"simpson",18
"waggoner",18
"weber",18
"brudvik",17
"brunetti",17
"c.p",17
"creely",17
"dennis",17
"granger",17
