"Collector","Count"
"valerie",131
"wall",131
"lori",130
"michelle",130
"federico",129
"perry",129
"holliday",128
"aidan",127
"brodbeck",125
"first",123
"stone",122
"hargrave",121
"thulman",121
"horning",119
"zinke",119
"cuellar",118
"glotfelty",118
"rinker",118
"alejandro",117
"hermanson",117
"o'day",117
"sharyn",117
"ahearn",116
"wasdo",116
"annette",115
"cathy",115
"geary",115
"earlene",114
"head",114
"paulette",114
"doris",113
"jacqueline",113
"lahy",113
"shawn",113
"cronin",112
"platt",112
"warner",112
"zack",111
"dale",110
"fernando",110
"fried",110
"mardi",110
"mel",110
"parker",110
"wanda",110
"dana",109
"ehret",109
"belwood",108
"palmer",108
"rawlings",108
"alter",107
"juarbe",107
"velez",107
"walker",107
"snyder",106
"stanley",106
"riemer",105
"vincent",105
"beverly",104
"cummings",104
"nancy",104
"o'connor",104
"summers",104
"tennant",104
"lad",103
"ted",103
"ramirez",102
"spaulding",102
"baumgart",101
"lane",101
"gut",100
"keith",100
"anderson",99
"norma",99
"shaw",99
"sherri",99
"wolff",99
"bonnie",98
"x",98
"faucher",97
"joel",97
"maria",97
"nesler",97
"carly",96
"isabel",96
"manz",96
"of",96
"aker",95
"hammond",95
"coleman",94
"julie",94
"owen",94
"stopp",94
"troupe",94
"desautels",93
"dumont",93
"suarez",93
"bradley",92
"connie",92
"greg",92
"jan",92
"katy",92
"eastwood",91
"micah",91
"munroe",91
"wallett",91
"evan",90
"nicholas",90
"arata",89
"czaplewski",89
"miriam",89
"schriner",89
"bilak",88
"boyd",88
"bryan",88
"cifelli",88
"everett",88
"jaimie",88
"kay",88
"camila",87
"carolyn",87
"cozzini",87
"janet",87
"vallejo",87
"billy",86
"ferl",86
"fred",86
"grosser",86
"whiting",86
"hillegass",85
"robyn",85
"bernius",84
"betty",83
"gina",83
"robin",82
"woodhead",82
"de",81
"carl",80
"laura",80
"fernandez",79
"galusha",79
"hayes",79
"cowsert",78
"mcpherson",78
"oswald",78
"case",77
"royer",77
"hoffman",76
"organization",76
"research",76
"schmidt",76
"gledhill",75
"julia",75
"diego",74
"evans",74
"hunter",74
"muriel",74
"sargis",74
"tall",74
"timbers",74
"ryan",73
"speleological",73
"brittany",72
"farlow",72
"green",72
"nicole",72
"emily",71
"hall",71
"juan",71
"patterson",71
"ed",70
"newstead",70
"adkins",69
"cadotte",69
"glynn",69
"galatis",68
"lyles",68
"nestler",68
"comparative",67
"eddie",67
"isaac",67
