"TypeStatus","Count"
"paratypes",887
"paratype",773
"holotype",112
"paratopotypes",31
"paratopotype",12
"paralectotypes",10
"see remarks",8
"syntype",7
"topotypes",7
"allotype",4
"neotype",4
"syntypes",3
"paragenetypes",1
"topotype",1
