"dwc.preparations","freq"
"95% alc.; viscera in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH",1
"Bouin's->70% alc.",1
"Bouin's->70% alc.; 10% form.->70% alc.",1
"cleared & stained; 10% form.->70% alc.; tissue in EtOH",1
"cleared & stained; microslide",1
"cleared & stained; tissue in EtOH",1
"cleared & stained; tissue in EtOH; tissue in EtOH; tissue in EtOH",1
"dry->70% alc.",1
"dry; egg",1
"dry; skeleton",1
"dry; skeleton (incomplete)",1
"egg",1
"frozen whole; osteoderms; tissue, frozen",1
"gut contents separated; 10% form.",1
"gut contents separated; dry",1
"microdissection; 10% form.->70% alc.",1
"microslide; 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial)",1
"microslide; 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial)",1
"microslide; 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); microslide",1
"microslide; 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); 10% form.->70% alc. (partial); microslide",1
"plaster mold; fiberglass mold form; cast",1
"plaster mold; fiberglass mold form; fiberglass mold form",1
"silicone mold",1
"skeleton (incomplete); microslide",1
"skeleton (incomplete); skeleton (incomplete)",1
"skeleton (skull only); skeleton (incomplete)",1
"skeleton, macerated; tissue in EtOH; brain in 10% buffered formalin",1
"skeleton, macerated; tissue in EtOH; brain in 10% buffered formalin; eyes in formalin",1
"skeleton; 10% form.->70% alc.; tissue in EtOH; tissue in EtOH; tissue in EtOH",1
"skeleton; 10% form.->70% alc.; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH",1
"skeleton; osteoderms",1
"skeleton; skeleton (incomplete)",1
"skeleton; skeleton, mounted",1
"skeleton; tissue (dry)",1
"skeleton; tissue in EtOH; brain in 10% buffered formalin",1
"skeleton; tissue in EtOH; tissue in EtOH",1
"skeleton; tissue in RNA-later",1
"skeleton; viscera in EtOH; tissue in EtOH",1
"skin in EtOH; cleared & stained",1
"tissue in EtOH; 95% alc.",1
"tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH",1
"tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; 10% form.->70% alc.",1
"tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; 10% form.->70% alc.",1
"tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; 10% form.->70% alc.",1
"tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; tissue in EtOH; 10% form.->70% alc.",1
"viscera in EtOH",1
