"dwc.preparations","freq"
"70% EtOH - 267",6
"70% EtOH - 278",6
"70% EtOH - 3; 95% EtOH (tiss) - 3",6
"70% EtOH - 9; 95% EtOH (spec) - 2",6
"95% EtOH (spec) - 1; 70% EtOH - 1",6
"95% EtOH (spec) - 2; 70% EtOH - 2",6
"95% EtOH (tiss) - 4",6
"C&S - 3",6
"frozen (spec) - 5",6
"none - 3",6
"Skel - 2",6
"70% EtOH - 1; C&S - 1",5
"70% EtOH - 1; Skel - 1",5
"70% EtOH - 149",5
"70% EtOH - 154",5
"70% EtOH - 173",5
"70% EtOH - 176",5
"70% EtOH - 177",5
"70% EtOH - 179",5
"70% EtOH - 181",5
"70% EtOH - 185",5
"70% EtOH - 199",5
"70% EtOH - 219",5
"70% EtOH - 226",5
"70% EtOH - 228",5
"70% EtOH - 230",5
"70% EtOH - 323",5
"70% EtOH - 328",5
"70% EtOH - 4; 95% EtOH (spec) - 2",5
"70% EtOH - 4; 95% EtOH (tiss) - 1",5
"70% EtOH - 4; C&S - 2",5
"70% EtOH - 4; C&S - 3",5
"70% EtOH - 5; C&S - 1",5
"95% EtOH (tiss) - 2; 70% EtOH - 3",5
"95% EtOH (tiss) - 5",5
"C&S - 5",5
"frozen (spec) - 8",5
"frozen to 95% EtOH - 10; 70% EtOH - 1",5
"frozen to 95% EtOH - 8",5
"70% EtOH - 1; C&S - 2",4
"70% EtOH - 1; frozen (spec) - 1",4
"70% EtOH - 10; C&S - 2",4
"70% EtOH - 161",4
"70% EtOH - 163",4
"70% EtOH - 165",4
"70% EtOH - 174",4
"70% EtOH - 184",4
"70% EtOH - 194",4
"70% EtOH - 195",4
"70% EtOH - 196",4
"70% EtOH - 197",4
"70% EtOH - 2; 95% EtOH (tiss) - 1",4
"70% EtOH - 201",4
"70% EtOH - 203",4
"70% EtOH - 206",4
"70% EtOH - 221",4
"70% EtOH - 232",4
"70% EtOH - 235",4
"70% EtOH - 243",4
"70% EtOH - 256",4
"70% EtOH - 258",4
"70% EtOH - 290",4
"70% EtOH - 3; C&S - 1",4
"70% EtOH - 3; frozen to 95% EtOH - 10",4
"70% EtOH - 300",4
"70% EtOH - 308",4
"70% EtOH - 317",4
"70% EtOH - 351",4
"70% EtOH - 356",4
"70% EtOH - 382",4
"70% EtOH - 429",4
"70% EtOH - 450",4
"70% EtOH - 5; 95% EtOH (spec) - 2",4
"70% EtOH - 5; 95% EtOH (tiss) - 5",4
"70% EtOH - 5; C&S - 2",4
"70% EtOH - 6; C&S - 1",4
"70% EtOH - 7; frozen to 95% EtOH - 10",4
"70% EtOH - 8; C&S - 2",4
"70% EtOH - 9; C&S - 4",4
"95% EtOH (spec) - 1; 70% EtOH - 3",4
"95% EtOH (spec) - 3; 70% EtOH - 5",4
"95% EtOH (spec) - 7",4
