"Continent","Count"
NA,238
"AUS",125
"BHS",34
"BRB",2
"CPV",5
"CAN",88
"CHL",4
"CHN",3
NA,1
"FSM",2
"FRA",8
"PYF",2
"GUM",76
"ITA",9
"JPN",265
"MEX",79
"MAR",2
"NPL",29
"NZL",1
"NGA",2
"PRY",1
"PHL",47
"PRT",2
"PRI",19
"RUS",3
"SAU",6
"SYC",56
"ZAF",26
"KOR",9
"VCT",12
"TWN",467
"TZA",17
"THA",144
"GBR",1
"USA",38118
"VEN",1
