"Collector","Count"
"ducharme",6
"erskine",6
"finlay",6
"game",6
"glova",6
"grove",6
"hagen",6
"halmerance",6
"hampson",6
"higgin",6
"janowicz",6
"lane",6
"lindroth",6
"marfleet",6
"marraro",6
"milobar",6
"murphy",6
"new",6
"northcote",6
"nowosad",6
"oliva",6
"ota",6
"ottawa",6
"pettaway",6
"research",6
"rowe",6
"ruiz",6
"schmidtke",6
"shirley",6
"sinclair",6
"stephen",6
"telfer",6
"theaker",6
"victor",6
"william",6
"zurfluh",6
"berry",5
"boucard",5
"bower",5
"brodie",5
"bsku",5
"bull",5
"c.w.s",5
"charles",5
"collenzo",5
"comeau",5
"cruise",5
"dulka",5
"e.b.s",5
"erik",5
"ferguson",5
"foote",5
"gilmour",5
"giroq",5
"hannon",5
"harder",5
"hartman",5
"herzog",5
"howland",5
"hurley",5
"jamieson",5
"julian",5
"ken",5
"kennedy",5
"kerr",5
"kicenink",5
"l.g.l",5
"lamb",5
"lelek",5
"lowe",5
"lybkin",5
"mcclymont",5
"measures",5
"nakamura",5
"newman",5
"pacific",5
"paley",5
"personnel",5
"pethon",5
"pletcher",5
"ranger",5
"rchweitzer",5
"rena",5
"riemchen",5
"rob",5
"rosa",5
"seal",5
"smyth",5
"snyder",5
"speed",5
"spence",5
"station",5
"stevenson",5
"storer",5
"sun",5
"supply",5
"tollefson",5
"tonn",5
"vanderbes",5
"washington",5
"weir",5
"wisely",5
"zalewski",5
"zoo",5
"aiken",4
"atton",4
"baron",4
"blanchard",4
"boschung",4
"bowne",4
"brechtel",4
"calvert",4
"camp",4
"clark",4
"coldwell",4
"compton",4
"cromwell",4
"cunningham",4
"d.e",4
"dale",4
"debock",4
"division",4
"ecocern",4
"edgar",4
"edmonton",4
"folinsbee",4
"fouke",4
"gammon",4
"george",4
"gibson",4
"gorham",4
"granquist",4
"halstrom",4
"hamm",4
"haugen",4
"hawkins",4
"hills",4
"hjartarson",4
"hobbs",4
"hodgson",4
"hollingshead",4
"hood",4
"hop",4
"howe",4
"igarashi",4
"jaran",4
"jen",4
"jens",4
"karen",4
"karnasuta",4
"kraft",4
"lambert",4
"landry",4
"lauber",4
"leatham",4
"leblanc",4
"lenko",4
"leong",4
"lien",4
"macarthur",4
"mahrt",4
"mcfadden",4
"mcleod",4
"mel",4
"meunier",4
"murry",4
"mv",4
"mychjalyk",4
"newkirk",4
"nielsen",4
"northcott",4
"norton",4
"park",4
"paskowski",4
"patterson",4
"pearlstone",4
"pears",4
"penczek",4
"peter",4
"philip",4
"r.c.b",4
"resource",4
"roger",4
"rosen",4
"samuel",4
"segan",4
"shelast",4
"sheppard",4
"skaskow",4
"street",4
"swift",4
"templeman",4
"townsend",4
"tuacy",4
"verhaeghe",4
"vern",4
"voinsievenski",4
"west",4
"white",4
"whitely",4
"wiggins",4
"wroot",4
"zealand",4
"zirul",4
