"Waterbody","Count"
"armstrong lake",3
"atlantic ocean",3
"bald mountain creek",3
"belly river",3
"big johnson lake",3
"bighorn lake",3
"birch river",3
"blindman river",3
"boundary creek",3
"bulkley river",3
"bullshead creek",3
"camp creek",3
"carbondale river",3
"caribou river",3
"chance creek",3
"chilko lake",3
"church bay",3
"cluculz lake",3
"cold creek",3
"columbia lake",3
"connor creek",3
"coquitlam river",3
"dismal creek",3
"dongping lake",3
"dunvegan creek",3
"east prairie river",3
"emerald lake",3
"eymundson creek",3
"fawcett lake",3
"firth river",3
"fish lake",3
"fox river",3
"gold river",3
"gregg lake",3
"grist lake",3
"halfway lake",3
"hardisty creek",3
"helliwell lake",3
"hornaday river",3
"iosegun lake",3
"island lake",3
"jamieson lake",3
"kennedy creek",3
"kettle river",3
"kootenay lake",3
"ksituan river",3
"lake michigan",3
"lake minnewanka",3
"lake nipigon",3
"lakelse lake",3
"lane lake",3
"leland lakes",3
"long island lake",3
"lough derravagh",3
"lough sheelin",3
"louisiana lakes",3
"lusk creek",3
"lynx creek",3
"maskuta creek",3
"mill creek",3
"montagneuse river",3
"moraine lake",3
"morse river",3
"mosquito river (uamz)",3
"nose creek",3
"ottawa river",3
"paddle river",3
"peppers creek",3
"picklejar lakes",3
"pinepound creek",3
"pouce coupé river",3
"raven river",3
"rich lake",3
"rosebud river",3
"ryan lake",3
"sawn lake",3
"severn river",3
"snail lake (uamz)",3
"south heart river",3
"speed river",3
"spray lakes reservoir",3
"spruce coulee reservoir",3
"stave river",3
"steele lake",3
"steeprock creek",3
"stoney creek",3
"sturgeon lake",3
"sucker lake",3
"surmont creek",3
"susa creek",3
"sweathouse creek",3
"the grand banks",3
"vivian lake",3
"wabasca river",3
"white earth creek",3
"whitefish lake",3
"whitney creek",3
"willson creek",3
"winter creek",3
"yellowhead lake",3
"albright creek",2
"algar river",2
"arnold slough",2
"azovskoye more",2
"baltic sea",2
"bandon river",2
"barnaby lake",2
"bea lake",2
"beaton creek",2
"bella coola river",2
"blackmud creek",2
"blue lake",2
"boucher creek",2
"brilliant lake",2
"brousseau creek",2
"brown creek",2
"burnt river",2
"cameron lake",2
"camp lake",2
"carl creek",2
"carlisle bay",2
"cavan lake",2
"chickakoo lake",2
"christina lake",2
"clear river",2
"commers l. (undet.)",2
"conestogo river",2
"cow lake",2
"cowoki lake",2
"coyote lake",2
"crowsnest lake",2
"cultus lake",2
"deep valley creek",2
"deerlick creek",2
"dizzy creek",2
"don river",2
"driedmeat lake",2
"dyson creek",2
"eagle cove",2
"echoing lake",2
"eden lake",2
"eva lake",2
"fickle lake",2
